Date,Open,High,Low,Close,Adjusted Close,Volume,Start Date,End Date,President,House,Senate,Sector
2024-12-06,83.14,83.285,82.045,82.38,82.38,51724124,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2024-11-29,82.38,83.3,82.04,83.22,83.22,27267351,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2024-11-22,80.14,81.91,79.525,81.84,81.84,40346332,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2024-11-15,80.71,81.45,79.915,79.96,79.96,48516073,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2024-11-08,80.27,81.21,79.355,80.82,80.82,59880412,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2024-11-01,81.38,81.56,79.955,80.15,80.15,42500492,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2024-10-25,82.21,82.39,80.99,81.06,81.06,37302132,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2024-10-18,81.6,83.19,81.47,82.24,82.24,41301803,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2024-10-11,81.5,81.72,80.475,81.64,81.64,44629538,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2024-10-04,83.32,83.48,80.95,81.47,81.47,58954724,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2024-09-27,82.44,83.5,82.38,83.02,83.02,42070523,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2024-09-20,84.15,84.53,82.43,83.05,82.6136,56789059,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2024-09-13,83.0,83.995,82.08,83.93,83.4889,53233179,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2024-09-06,82.53,83.63,82.43,82.99,82.5539,59958768,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2024-08-30,81.93,82.765,81.69,82.51,82.0764,34840834,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2024-08-23,80.6,82.2899,80.565,81.84,81.4099,36359852,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2024-08-16,79.11,80.81,78.35,80.51,80.0869,39235370,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2024-08-09,79.12,79.395,77.44,79.15,78.734,83250895,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2024-08-02,78.34,79.75,77.24,79.26,78.8435,72029794,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2024-07-26,78.27,78.88,77.28,78.49,78.0775,52924959,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2024-07-19,77.4,79.15,76.915,78.09,77.6796,61460242,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2024-07-12,77.44,77.86,76.89,77.45,77.043,38814510,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2024-07-05,76.98,77.43,75.89,77.38,76.9734,30312539,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2024-06-28,77.27,78.01,76.375,76.58,76.1776,41822847,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2024-06-21,76.66,78.17,76.495,77.67,76.689,36241001,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2024-06-14,77.78,77.8,76.355,76.95,75.9781,48760318,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2024-06-07,77.09,78.335,76.865,77.66,76.6791,47666054,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2024-05-31,76.85,77.38,75.73,77.34,76.3632,38521680,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2024-05-24,78.19,78.19,76.86,77.1,76.1262,42911551,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2024-05-17,77.77,78.61,76.87,78.21,77.2222,68642320,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2024-05-10,76.05,77.71,75.43,77.62,76.6396,63463443,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2024-05-03,75.61,76.03,74.71,75.88,74.9216,87537530,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2024-04-26,74.59,76.475,74.255,75.59,74.6353,67854672,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2024-04-19,73.83,74.48,72.93,74.44,73.4998,65396177,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2024-04-12,74.2,74.694,73.295,73.38,72.4532,62746656,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2024-04-05,76.35,76.46,73.9918,74.33,73.3912,73751123,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2024-03-22,74.89,76.265,74.89,75.64,74.6847,51339476,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2024-03-15,75.33,76.28,75.08,75.53,74.0342,57722216,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2024-03-08,74.17,75.83,74.15,75.16,73.6716,65914187,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2024-03-01,74.8,74.905,73.94,74.46,72.9854,56464903,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2024-02-23,73.8,75.16,73.68,74.78,73.2991,53458792,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2024-02-16,73.19,73.785,72.355,73.28,71.8288,80058843,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2024-02-09,74.19,74.24,73.0,73.11,71.6622,70319513,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2024-02-02,72.83,74.48,72.565,74.17,72.7012,81348334,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2024-01-26,71.74,72.74,71.56,72.63,71.1917,60800820,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2024-01-19,72.81,72.85,71.68,72.05,70.6232,43066778,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2024-01-12,72.02,72.995,71.98,72.8,71.3583,45581927,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2024-01-05,71.77,73.09,71.59,72.01,70.584,50551920,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2023-12-29,71.07,72.065,71.07,72.03,70.6036,31300037,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2023-12-22,71.01,71.7,70.12,71.22,69.8096,55608415,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
