Date,Open,High,Low,Close,Adjusted Close,Volume,Start Date,End Date,President,House,Senate,Sector
2024-12-06,51.42,51.4893,50.085,50.4,50.4,200463927,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Financial
2024-11-29,51.01,51.62,50.76,51.34,51.34,122892643,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Financial
2024-11-22,49.91,50.78,49.295,50.73,50.73,181026615,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Financial
2024-11-15,49.68,50.135,49.545,49.87,49.87,233041993,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Financial
2024-11-08,46.61,49.68,46.025,49.19,49.19,361388623,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Financial
2024-11-01,46.87,47.43,46.48,46.64,46.64,181608092,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Financial
2024-10-25,47.54,47.65,46.52,46.63,46.63,122067462,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Financial
2024-10-18,46.59,47.81,46.46,47.62,47.62,203284352,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Financial
2024-10-11,45.65,46.6,44.9,46.51,46.51,170674171,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Financial
2024-10-04,45.04,45.69,44.665,45.65,45.65,157993176,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Financial
2024-09-27,45.49,45.67,44.65,45.15,45.15,159174968,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Financial
2024-09-20,44.7,45.81,44.7,45.66,45.4945,201897940,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Financial
2024-09-13,44.71,45.2,43.38,44.51,44.3487,230175002,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Financial
2024-09-06,45.5,45.875,44.19,44.29,44.1295,162255492,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Financial
2024-08-30,44.58,45.78,44.47,45.74,45.5742,132720309,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Financial
2024-08-23,43.78,44.54,43.57,44.43,44.269,121159604,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Financial
2024-08-16,42.48,43.77,42.09,43.77,43.6113,134772240,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Financial
