Date,Open,High,Low,Close,Adjusted Close,Volume,Start Date,End Date,President,House,Senate,Sector
2024-12-06,147.32,147.58,144.105,144.28,144.28,31549199,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Health Care
2024-11-29,144.81,147.79,144.69,147.41,147.41,22327467,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Health Care
2024-11-22,141.47,145.02,140.26,144.16,144.16,37767787,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Health Care
2024-11-15,149.85,150.6,141.57,141.84,141.84,41258922,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Health Care
2024-11-08,147.38,150.945,145.94,150.18,150.18,39789762,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Health Care
2024-11-01,149.01,149.49,145.62,147.74,147.74,35076025,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Health Care
2024-10-25,152.73,153.14,148.42,148.59,148.59,25283988,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Health Care
2024-10-18,154.06,155.015,152.06,153.13,153.13,33672558,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Health Care
2024-10-11,151.65,154.07,150.685,153.89,153.89,32229215,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Health Care
2024-10-04,152.81,154.355,150.88,151.64,151.64,37096323,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Health Care
2024-09-27,155.19,155.21,152.23,153.02,153.02,31183991,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Health Care
2024-09-20,156.98,157.59,154.76,155.28,154.7016,33400090,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Health Care
2024-09-13,154.34,156.64,152.85,156.16,155.5784,29340262,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Health Care
2024-09-06,156.88,159.64,153.63,153.95,153.3766,30787791,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Health Care
2024-08-30,155.6,157.28,155.06,157.2,156.6145,24729278,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Health Care
2024-08-23,152.88,155.56,152.79,155.45,154.871,24159595,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Health Care
2024-08-16,150.34,153.115,148.98,152.87,152.3006,25147177,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Health Care
2024-08-09,148.5,150.36,145.54,149.98,149.4214,62425886,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Health Care
2024-08-02,149.98,151.77,148.62,150.86,150.2981,50014777,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Health Care
2024-07-26,148.62,151.53,147.88,149.96,149.4015,33115631,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Health Care
2024-07-19,148.84,151.33,146.86,147.87,147.3192,40821177,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Health Care
2024-07-12,144.57,148.885,143.7,148.27,147.7177,31988717,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Health Care
2024-07-05,146.04,147.485,142.73,144.41,143.8721,26599232,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Health Care
2024-06-28,146.83,147.61,145.03,145.75,145.2071,28485367,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Health Care
2024-06-21,145.26,147.12,144.96,146.81,145.6961,24582414,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Health Care
2024-06-14,146.2,147.04,144.58,145.88,144.7731,25945130,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Health Care
2024-06-07,143.6,147.16,143.35,146.43,145.319,33284078,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Health Care
2024-05-31,144.1,144.1,140.675,143.7,142.6097,30554846,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Health Care
2024-05-24,146.16,146.945,144.33,144.42,143.3242,23875609,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Health Care
2024-05-17,143.88,146.44,143.11,146.31,145.1999,33796588,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Health Care
2024-05-10,140.95,144.09,140.64,143.59,142.5005,31933714,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Health Care
2024-05-03,140.13,141.84,139.55,140.83,139.7615,43741528,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Health Care
