Date,Open,High,Low,Close,Adjusted Close,Volume,Start Date,End Date,President,House,Senate,Sector
2024-12-06,233.9,241.88,233.84,240.84,240.84,19053741,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2024-11-29,235.36,235.77,229.53,233.73,233.73,13952334,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2024-11-22,228.71,234.57,227.72,233.6,233.6,19818146,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2024-11-15,237.13,237.28,227.95,228.71,228.71,19479824,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2024-11-08,224.12,237.94,222.79,237.16,237.16,21126027,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2024-11-01,231.94,233.99,222.16,223.91,223.91,22683967,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2024-10-25,230.19,232.875,226.4817,230.29,230.29,15861349,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2024-10-18,232.28,234.565,226.9238,230.91,230.91,20168257,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2024-10-11,224.28,231.33,223.18,230.81,230.81,17208067,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2024-10-04,224.12,225.9,218.95,225.29,225.29,16064860,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2024-09-27,222.33,228.8788,220.62,225.1,225.1,17983187,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2024-09-20,218.85,225.005,216.96,222.53,222.1314,27528087,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2024-09-13,206.45,220.99,204.54,220.44,220.0452,26233524,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2024-09-06,218.0,218.16,202.98,203.92,203.5547,24169610,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2024-08-30,223.76,224.6025,216.88,220.33,219.9354,23129617,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2024-08-23,220.88,227.37,219.93,223.96,223.5589,23764560,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2024-08-16,206.27,221.825,205.31,221.4,221.0034,21844337,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2024-08-09,191.905,206.81,190.745,205.63,205.2617,48818681,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2024-08-02,218.0,220.73,201.25,204.72,204.3533,34132773,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2024-07-26,223.79,227.23,210.46,216.28,215.8926,31644377,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2024-07-19,234.99,236.53,220.38,220.87,220.4744,24015343,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2024-07-12,233.63,238.14,231.055,233.8,233.3812,24491512,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2024-07-05,226.57,233.91,223.28,232.88,232.4629,14639577,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2024-06-28,225.64,230.39,222.36,226.23,225.8248,26374488,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2024-06-21,228.23,232.59,227.37,228.41,227.5916,23542066,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2024-06-14,214.87,227.8,214.73,227.67,226.8542,28917000,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2024-06-07,211.77,216.52,208.17,215.6,214.8275,19139276,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2024-05-31,216.41,216.58,205.53,210.16,209.407,19948110,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2024-05-24,212.03,217.62,211.84,215.19,214.4189,19753754,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2024-05-17,207.05,213.815,205.86,211.82,211.061,25199166,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2024-05-10,203.32,206.77,203.01,205.54,204.8035,21780798,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2024-05-03,200.86,203.23,194.22,202.55,201.8242,34766986,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2024-04-26,194.01,201.29,192.08,199.83,199.114,28138698,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2024-04-19,206.68,206.81,192.04,192.53,191.8401,41177087,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2024-04-12,206.58,209.14,203.83,205.42,204.684,29052885,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2024-04-05,208.71,210.1,204.0,206.45,205.7103,31448567,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2024-03-22,207.09,211.93,204.26,209.91,209.1579,32371626,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2024-03-15,206.4,211.04,204.79,205.63,204.5569,40720150,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2024-03-08,210.46,212.35,204.25,207.35,206.2679,39911407,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2024-03-01,206.19,211.06,203.9599,210.76,209.6601,30842941,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2024-02-23,201.38,207.66,197.07,205.29,204.2186,32144791,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2024-02-16,207.83,208.47,201.175,202.57,201.5128,31945531,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2024-02-09,203.06,208.11,200.47,207.84,206.7553,27844976,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2024-02-02,202.0,203.84,197.58,202.24,201.1846,31681175,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2024-01-26,201.15,206.145,200.07,201.75,200.6971,36726053,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2024-01-19,192.0,200.21,189.69,200.17,199.1254,31568219,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2024-01-12,185.05,192.68,184.86,192.24,191.2367,29492825,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2024-01-05,189.86,190.16,183.42,184.12,183.1591,35102726,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2023-12-29,192.17,193.72,191.52,192.48,191.4755,19872440,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2023-12-22,191.24,193.04,189.64,192.05,191.0477,27211814,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2023-12-15,186.11,192.8,185.68,191.7,190.281,57902301,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2023-12-08,183.73,186.81,181.32,186.66,185.2783,35262509,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2023-12-01,184.15,186.9,183.61,185.58,184.2063,28967033,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2023-11-24,183.03,186.35,183.01,184.41,183.045,19938983,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
