Date,Open,High,Low,Close,Adjusted Close,Volume,Start Date,End Date,President,House,Senate,Sector
2024-12-06,82.92,82.95,79.54,79.69,79.69,46781304,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Utilities
2024-11-29,82.1,83.41,80.995,82.93,82.93,29009845,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Utilities
2024-11-22,79.18,82.27,79.0814,81.45,81.45,38067545,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Utilities
2024-11-15,79.19,79.8664,77.96,79.25,79.25,51382524,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Utilities
2024-11-08,77.35,79.345,76.78,79.18,79.18,73245690,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Utilities
2024-11-01,80.81,81.42,78.06,78.13,78.13,60821745,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Utilities
2024-10-25,82.14,82.3799,80.32,80.38,80.38,41093511,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Utilities
2024-10-18,79.37,82.5,79.22,81.95,81.95,50565689,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Utilities
2024-10-11,81.04,81.09,78.05,79.25,79.25,70626680,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Utilities
2024-10-04,80.58,82.055,79.86,81.31,81.31,54581047,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Utilities
2024-09-27,80.03,80.77,79.41,80.42,80.42,51201614,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Utilities
2024-09-20,78.79,80.25,77.38,80.08,79.5458,90361996,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Utilities
2024-09-13,76.24,78.5591,75.8,78.54,78.0161,46981618,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Utilities
2024-09-06,76.31,77.51,75.9,75.91,75.4036,42982463,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Utilities
2024-08-30,75.68,76.4,74.82,76.29,75.7811,35125945,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Utilities
2024-08-23,74.51,75.78,74.45,75.42,74.9169,35322791,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Utilities
2024-08-16,73.63,74.695,73.19,74.44,73.9434,40299230,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Utilities
2024-08-09,74.61,74.61,72.18,73.61,73.1189,67606993,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Utilities
2024-08-02,71.44,75.56,70.86,74.22,73.7249,67218798,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Utilities
2024-07-26,70.5,71.78,70.18,71.17,70.6952,47154694,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Utilities
2024-07-19,70.46,71.0,69.415,70.13,69.6622,49440470,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Utilities
2024-07-12,68.61,71.725,68.355,71.26,70.7846,47664086,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Utilities
2024-07-05,68.85,68.97,67.595,68.55,68.0927,30276890,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Utilities
2024-06-28,68.82,69.97,67.82,68.14,67.6854,45450744,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Utilities
2024-06-21,69.57,70.135,68.55,69.39,68.3828,46269635,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Utilities
2024-06-14,69.93,71.31,69.3813,69.94,68.9248,55226648,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Utilities
2024-06-07,72.6,72.665,69.915,69.94,68.9248,59363650,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Utilities
