Date,Open,High,Low,Close,Adjusted Close,Volume,Start Date,End Date,President,House,Senate,Sector
2024-12-06,83.14,83.285,82.045,82.38,82.38,51724124,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2024-11-29,82.38,83.3,82.04,83.22,83.22,27267351,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2024-11-22,80.14,81.91,79.525,81.84,81.84,40346332,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2024-11-15,80.71,81.45,79.915,79.96,79.96,48516073,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Consumer Staples
2023-01-13,75.73,76.245,74.14,74.74,71.3733,48473646,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Consumer Staples
2023-01-06,74.59,76.075,73.52,75.78,72.3664,46461196,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Consumer Staples
2022-12-30,75.28,75.86,74.0101,74.55,71.1918,21693506,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Consumer Staples
2022-12-23,74.31,75.25,73.81,75.18,71.7934,35179190,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Consumer Staples
2022-12-16,76.03,77.62,74.21,74.86,70.9785,58009360,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Consumer Staples
2022-12-09,76.36,76.59,75.38,75.89,71.9551,41633139,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Consumer Staples
2022-12-02,75.97,77.29,75.225,77.19,73.1877,44461182,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Consumer Staples
2022-11-25,74.82,76.35,74.665,76.25,72.2965,23626469,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Consumer Staples
2022-11-18,73.45,74.7701,72.895,74.68,70.8079,56471714,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Consumer Staples
2022-11-11,72.0,73.88,71.85,73.52,69.708,59266400,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Consumer Staples
2021-01-15,66.53,66.97,65.36,65.63,59.6037,53883157,2019-01-20,2021-01-19,Republican,Democratic,Republican,Consumer Staples
2021-01-08,67.42,67.4425,65.92,66.9,60.7571,69995551,2019-01-20,2021-01-19,Republican,Democratic,Republican,Consumer Staples
2020-12-18,67.65,68.08,67.04,67.93,61.1744,34944485,2019-01-20,2021-01-19,Republican,Democratic,Republican,Consumer Staples
2020-12-11,67.5,67.88,66.89,67.32,60.6251,37701622,2019-01-20,2021-01-19,Republican,Democratic,Republican,Consumer Staples
2020-12-04,66.75,67.64,66.23,67.63,60.9043,57104853,2019-01-20,2021-01-19,Republican,Democratic,Republican,Consumer Staples
2020-11-27,66.62,67.2,66.114,66.92,60.2649,20467554,2019-01-20,2021-01-19,Republican,Democratic,Republican,Consumer Staples
2020-11-20,68.15,68.18,66.395,66.5,59.8866,42205543,2019-01-20,2021-01-19,Republican,Democratic,Republican,Consumer Staples
2020-11-13,66.64,67.617,64.85,67.53,60.8142,55772670,2019-01-20,2021-01-19,Republican,Democratic,Republican,Consumer Staples
2019-01-18,51.5,52.61,51.3,52.45,45.0789,54898076,2017-01-20,2019-01-19,Republican,Republican,Republican,Consumer Staples
2019-01-11,51.13,51.79,50.73,51.63,44.3742,103265645,2017-01-20,2019-01-19,Republican,Republican,Republican,Consumer Staples
2019-01-04,50.7,51.26,49.95,51.26,44.0562,76497223,2017-01-20,2019-01-19,Republican,Republican,Republican,Consumer Staples
2018-12-28,50.05,51.15,48.33,50.57,43.4631,110120985,2017-01-20,2019-01-19,Republican,Republican,Republican,Consumer Staples
2018-12-21,54.37,54.5,50.18,50.18,43.1279,182863110,2017-01-20,2019-01-19,Republican,Republican,Republican,Consumer Staples
2018-12-14,55.03,55.68,53.88,54.5,46.4117,126132110,2017-01-20,2019-01-19,Republican,Republican,Republican,Consumer Staples
2018-12-07,56.46,56.62,54.245,54.72,46.599,104144285,2017-01-20,2019-01-19,Republican,Republican,Republican,Consumer Staples
2018-11-30,54.87,56.4,54.59,56.26,47.9105,80890388,2017-01-20,2019-01-19,Republican,Republican,Republican,Consumer Staples
2018-11-23,56.08,56.39,54.42,54.79,46.6586,75055797,2017-01-20,2019-01-19,Republican,Republican,Republican,Consumer Staples
2018-11-16,56.66,56.98,55.39,56.06,47.7402,97492291,2017-01-20,2019-01-19,Republican,Republican,Republican,Consumer Staples
2017-01-13,51.92,51.96,51.35,51.52,41.8671,49110242,2015-01-20,2017-01-19,Democratic,Republican,Republican,Consumer Staples
2017-01-06,51.75,52.15,51.6,52.12,42.3547,52279569,2015-01-20,2017-01-19,Democratic,Republican,Republican,Consumer Staples
2016-12-30,52.02,52.15,51.6,51.71,42.0215,40371393,2015-01-20,2017-01-19,Democratic,Republican,Republican,Consumer Staples
2016-12-23,52.105,52.285,51.81,52.06,42.306,42414731,2015-01-20,2017-01-19,Democratic,Republican,Republican,Consumer Staples
2016-12-16,51.91,52.69,51.76,52.05,42.2978,77772115,2015-01-20,2017-01-19,Democratic,Republican,Republican,Consumer Staples
2016-12-09,50.58,52.05,50.48,52.04,41.9785,80904713,2015-01-20,2017-01-19,Democratic,Republican,Republican,Consumer Staples
2016-12-02,51.21,51.46,49.98,50.57,40.7927,95076929,2015-01-20,2017-01-19,Democratic,Republican,Republican,Consumer Staples
2016-11-25,50.57,51.23,50.34,51.22,41.3171,56567748,2015-01-20,2017-01-19,Democratic,Republican,Republican,Consumer Staples
2016-11-18,50.54,50.99,50.255,50.5,40.7363,90067310,2015-01-20,2017-01-19,Democratic,Republican,Republican,Consumer Staples
2016-11-11,52.05,52.855,50.2145,50.54,40.7685,133373110,2015-01-20,2017-01-19,Democratic,Republican,Republican,Consumer Staples
2015-01-16,49.09,49.56,48.46,49.27,38.0512,53553721,2013-01-20,2015-01-19,Democratic,Republican,Democratic,Consumer Staples
2015-01-09,48.26,49.67,47.81,49.11,37.9276,47867985,2013-01-20,2015-01-19,Democratic,Republican,Democratic,Consumer Staples
2015-01-02,49.4,49.45,48.05,48.35,37.3406,31404430,2013-01-20,2015-01-19,Democratic,Republican,Democratic,Consumer Staples
2014-12-26,48.75,49.63,48.74,49.46,38.1979,15469575,2013-01-20,2015-01-19,Democratic,Republican,Democratic,Consumer Staples
2014-12-19,48.11,49.05,47.38,48.62,37.5492,51269989,2013-01-20,2015-01-19,Democratic,Republican,Democratic,Consumer Staples
2014-12-12,48.8,49.01,47.9,47.91,36.7361,28124615,2013-01-20,2015-01-19,Democratic,Republican,Democratic,Consumer Staples
2014-12-05,49.08,49.19,48.54,48.85,37.4569,35127013,2013-01-20,2015-01-19,Democratic,Republican,Democratic,Consumer Staples
2014-11-28,48.54,49.42,48.34,49.3,37.8019,19355269,2013-01-20,2015-01-19,Democratic,Republican,Democratic,Consumer Staples
