Date,Open,High,Low,Close,Adjusted Close,Volume,Start Date,End Date,President,House,Senate,Sector
2024-12-06,147.32,147.58,144.105,144.28,144.28,31549199,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Health Care
2024-11-29,144.81,147.79,144.69,147.41,147.41,22327467,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Health Care
2024-11-22,141.47,145.02,140.26,144.16,144.16,37767787,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Health Care
2024-11-15,149.85,150.6,141.57,141.84,141.84,41258922,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Health Care
2023-01-13,135.81,135.86,133.15,135.45,131.7448,36616569,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Health Care
2023-01-06,135.96,136.57,133.61,135.67,131.9587,29599185,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Health Care
2022-12-30,136.36,137.045,134.47,135.85,132.1338,24771703,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Health Care
2022-12-23,134.93,136.63,133.71,136.1,132.377,26804915,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Health Care
2022-12-16,138.07,141.77,134.78,135.53,131.2796,46030351,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Health Care
2022-12-09,138.88,140.0,136.7145,137.98,133.6528,35488359,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Health Care
2022-12-02,136.73,140.16,135.05,139.78,135.3964,42763885,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Health Care
2022-11-25,134.29,137.26,134.14,137.15,132.8488,22523356,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Health Care
2022-11-18,133.53,134.84,131.86,134.57,130.3498,38063133,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Health Care
2022-11-11,131.02,135.05,130.53,133.13,128.9549,46852798,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Health Care
2021-01-15,117.42,118.13,115.83,116.97,110.4042,37040681,2019-01-20,2021-01-19,Republican,Democratic,Republican,Health Care
2021-01-08,113.88,117.91,111.11,117.39,110.8006,63585505,2019-01-20,2021-01-19,Republican,Democratic,Republican,Health Care
2020-12-18,112.53,113.27,110.77,113.0,106.2143,30972990,2019-01-20,2021-01-19,Republican,Democratic,Republican,Health Care
2020-12-11,112.42,113.16,110.91,111.68,104.9736,31776361,2019-01-20,2021-01-19,Republican,Democratic,Republican,Health Care
2020-12-04,109.48,112.56,108.9,112.54,105.782,51581913,2019-01-20,2021-01-19,Republican,Democratic,Republican,Health Care
2020-11-27,109.34,109.58,107.84,109.44,102.8681,33456156,2019-01-20,2021-01-19,Republican,Democratic,Republican,Health Care
2020-11-20,113.01,113.19,108.235,108.8,102.2666,44419875,2019-01-20,2021-01-19,Republican,Democratic,Republican,Health Care
2020-11-13,113.92,114.41,109.98,112.12,105.3872,57338226,2019-01-20,2021-01-19,Republican,Democratic,Republican,Health Care
2019-01-18,87.28,90.13,86.83,90.08,81.6701,46377651,2017-01-20,2019-01-19,Republican,Republican,Republican,Health Care
2019-01-11,85.99,87.86,85.73,87.81,79.612,54602579,2017-01-20,2019-01-19,Republican,Republican,Republican,Health Care
2019-01-04,85.73,86.59,83.25,85.96,77.9347,58273634,2017-01-20,2019-01-19,Republican,Republican,Republican,Health Care
2018-12-28,82.13,86.44,80.61,85.25,77.291,64626998,2017-01-20,2019-01-19,Republican,Republican,Republican,Health Care
2018-12-21,88.04,88.78,82.51,82.68,74.961,124108610,2017-01-20,2019-01-19,Republican,Republican,Republican,Health Care
2018-12-14,90.61,93.17,88.65,88.96,80.2861,72575359,2017-01-20,2019-01-19,Republican,Republican,Republican,Health Care
2018-12-07,95.81,95.92,90.11,90.56,81.7301,60593212,2017-01-20,2019-01-19,Republican,Republican,Republican,Health Care
2018-11-30,90.36,95.87,89.88,95.87,86.5224,52945555,2017-01-20,2019-01-19,Republican,Republican,Republican,Health Care
2018-11-23,92.13,92.19,88.98,89.64,80.8998,33709865,2017-01-20,2019-01-19,Republican,Republican,Republican,Health Care
2018-11-16,92.81,92.95,88.83,92.04,83.0658,61201567,2017-01-20,2019-01-19,Republican,Republican,Republican,Health Care
2017-01-13,70.95,71.91,70.05,70.92,62.344,54452025,2015-01-20,2017-01-19,Democratic,Republican,Republican,Health Care
