Date,Open,High,Low,Close,Adjusted Close,Volume,Start Date,End Date,President,House,Senate,Sector
2024-12-06,233.9,241.88,233.84,240.84,240.84,19053741,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2024-11-29,235.36,235.77,229.53,233.73,233.73,13952334,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2024-11-22,228.71,234.57,227.72,233.6,233.6,19818146,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2024-11-15,237.13,237.28,227.95,228.71,228.71,19479824,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Technology
2023-01-13,125.85,130.71,125.2,130.49,128.6946,38953063,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Technology
2023-01-06,125.77,126.6,120.81,124.73,123.0138,26087827,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Technology
2022-12-30,124.17,125.03,121.29,124.44,122.7278,19876665,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Technology
2022-12-23,127.13,128.285,122.355,124.6,122.8856,32562846,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Technology
2022-12-16,131.12,139.3325,126.83,127.48,125.3608,48090039,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Technology
2022-12-09,134.32,135.075,128.67,130.91,128.7338,26554444,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Technology
2022-12-02,132.09,136.8,128.93,135.36,133.1098,36022561,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Technology
2022-11-25,131.34,134.78,130.3,133.6,131.3791,15063289,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Technology
2022-11-18,132.09,135.55,129.62,132.09,129.8942,28705657,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Technology
2022-11-11,121.2,133.58,120.34,133.14,130.9267,39511032,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Technology
2021-01-15,129.49,130.6,127.16,127.42,123.5104,38407644,2019-01-20,2021-01-19,Republican,Democratic,Republican,Technology
2021-01-08,130.68,131.11,126.12,130.76,126.748,46338090,2019-01-20,2021-01-19,Republican,Democratic,Republican,Technology
2020-12-18,124.68,128.98,124.6,128.25,124.0268,29839101,2019-01-20,2021-01-19,Republican,Democratic,Republican,Technology
2020-12-11,126.11,127.21,122.9,124.3,120.2068,28542388,2019-01-20,2021-01-19,Republican,Democratic,Republican,Technology
2020-12-04,122.62,126.06,121.23,126.04,121.8895,47538671,2019-01-20,2021-01-19,Republican,Democratic,Republican,Technology
2020-11-27,120.48,123.18,119.04,122.66,118.6208,21322353,2019-01-20,2021-01-19,Republican,Democratic,Republican,Technology
2020-11-20,121.21,122.59,119.62,120.11,116.1548,28209570,2019-01-20,2021-01-19,Republican,Democratic,Republican,Technology
2020-11-13,124.16,125.36,117.49,121.2,117.2089,52001097,2019-01-20,2021-01-19,Republican,Democratic,Republican,Technology
2019-01-18,62.98,65.48,62.73,65.35,61.7443,54817666,2017-01-20,2019-01-19,Republican,Republican,Republican,Technology
2019-01-11,61.5,63.71,61.36,63.54,60.0342,57593619,2017-01-20,2019-01-19,Republican,Republican,Republican,Technology
2019-01-04,61.93,62.39,58.81,61.5,58.1067,78017705,2017-01-20,2019-01-19,Republican,Republican,Republican,Technology
2018-12-28,58.64,62.4218,57.57,61.4,58.0122,93459340,2017-01-20,2019-01-19,Republican,Republican,Republican,Technology
2018-12-21,64.33,64.77,58.94,59.2,55.9336,157611920,2017-01-20,2019-01-19,Republican,Republican,Republican,Technology
2018-12-14,64.24,67.12,63.87,64.57,60.7354,81525984,2017-01-20,2019-01-19,Republican,Republican,Republican,Technology
2018-12-07,69.64,69.71,64.3,64.6,60.7636,78738555,2017-01-20,2019-01-19,Republican,Republican,Republican,Technology
2018-11-30,64.92,67.99,64.58,67.94,63.9052,71307801,2017-01-20,2019-01-19,Republican,Republican,Republican,Technology
2018-11-23,67.89,67.96,63.38,64.08,60.2745,69104780,2017-01-20,2019-01-19,Republican,Republican,Republican,Technology
2018-11-16,69.2,69.32,66.31,68.21,64.1592,95905798,2017-01-20,2019-01-19,Republican,Republican,Republican,Technology
2017-01-13,49.43,49.75,49.04,49.66,45.5486,35331435,2015-01-20,2017-01-19,Democratic,Republican,Republican,Technology
2017-01-06,48.67,49.47,48.5,49.4,45.3102,35417145,2015-01-20,2017-01-19,Democratic,Republican,Republican,Technology
2016-12-30,49.02,49.4,48.21,48.36,44.3563,27916326,2015-01-20,2017-01-19,Democratic,Republican,Republican,Technology
2016-12-23,48.63,49.2,48.59,48.97,44.9158,34419904,2015-01-20,2017-01-19,Democratic,Republican,Republican,Technology
2016-12-16,48.5,49.405,48.35,48.59,44.5672,63602762,2015-01-20,2017-01-19,Democratic,Republican,Republican,Technology
2016-12-09,46.95,48.65,46.76,48.65,44.4246,50214864,2015-01-20,2017-01-19,Democratic,Republican,Republican,Technology
2016-12-02,47.96,48.3,46.37,46.69,42.6348,57151095,2015-01-20,2017-01-19,Democratic,Republican,Republican,Technology
2016-11-25,47.53,48.068,47.46,48.0,43.831,28690999,2015-01-20,2017-01-19,Democratic,Republican,Republican,Technology
2016-11-18,46.77,47.61,45.8,47.36,43.2466,63813050,2015-01-20,2017-01-19,Democratic,Republican,Republican,Technology
2016-11-11,46.86,47.62,45.94,46.73,42.6713,103740117,2015-01-20,2017-01-19,Democratic,Republican,Republican,Technology
2015-01-16,41.23,41.615,39.8399,40.38,35.6995,54290486,2013-01-20,2015-01-19,Democratic,Republican,Democratic,Technology
2015-01-09,41.12,41.6,39.96,41.25,36.4687,45856549,2013-01-20,2015-01-19,Democratic,Republican,Democratic,Technology
2015-01-02,42.16,42.28,41.0601,41.27,36.4864,24592253,2013-01-20,2015-01-19,Democratic,Republican,Democratic,Technology
2014-12-26,41.73,42.395,41.66,42.32,37.4147,17740602,2013-01-20,2015-01-19,Democratic,Republican,Democratic,Technology
2014-12-19,40.89,41.79,39.83,41.57,36.7516,63539287,2013-01-20,2015-01-19,Democratic,Republican,Democratic,Technology
2014-12-12,42.04,42.11,40.57,40.615,35.7213,41175873,2013-01-20,2015-01-19,Democratic,Republican,Democratic,Technology
2014-12-05,42.39,42.44,41.83,42.12,37.0449,32513333,2013-01-20,2015-01-19,Democratic,Republican,Democratic,Technology
2014-11-28,41.75,42.58,41.63,42.49,37.3703,23531381,2013-01-20,2015-01-19,Democratic,Republican,Democratic,Technology
2014-11-21,41.49,41.96,41.18,41.67,36.6491,27488930,2013-01-20,2015-01-19,Democratic,Republican,Democratic,Technology
2014-11-14,40.82,41.61,40.75,41.61,36.5964,22131010,2013-01-20,2015-01-19,Democratic,Republican,Democratic,Technology
2013-01-18,29.39,29.54,29.1,29.39,25.0308,40631700,2011-01-20,2013-01-19,Democratic,Republican,Democratic,Technology
2013-01-11,29.41,29.63,29.19,29.59,25.2011,39645700,2011-01-20,2013-01-19,Democratic,Republican,Democratic,Technology
2013-01-04,28.29,29.87,28.25,29.5,25.1245,46850400,2011-01-20,2013-01-19,Democratic,Republican,Democratic,Technology
