Date,Open,High,Low,Close,Adjusted Close,Volume,Start Date,End Date,President,House,Senate,Sector
2024-12-06,82.92,82.95,79.54,79.69,79.69,46781304,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Utilities
2024-11-29,82.1,83.41,80.995,82.93,82.93,29009845,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Utilities
2024-11-22,79.18,82.27,79.0814,81.45,81.45,38067545,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Utilities
2024-11-15,79.19,79.8664,77.96,79.25,79.25,51382524,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Utilities
2023-01-13,70.99,72.27,70.66,71.33,67.4684,55808429,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Utilities
2023-01-06,70.7,71.775,69.385,71.0,67.1562,42920185,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Utilities
2022-12-30,71.07,71.81,69.84,70.5,66.6833,26449067,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Utilities
2022-12-23,69.55,70.955,69.03,70.91,67.0711,38783384,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Utilities
2022-12-16,71.21,73.79,69.6,70.48,66.121,71180848,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Utilities
2022-12-09,70.49,71.61,70.261,70.83,66.4493,60303953,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Utilities
2022-12-02,70.45,72.51,69.28,71.03,66.637,60814987,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Utilities
2022-11-25,68.74,71.16,68.69,70.94,66.5525,30549664,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Utilities
2022-11-18,68.12,68.97,67.09,68.85,64.5918,60463053,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Utilities
2022-11-11,66.96,69.03,64.765,68.08,63.8694,72828536,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Utilities
2021-01-15,62.1,63.18,60.68,62.99,56.1241,60794393,2019-01-20,2021-01-19,Republican,Democratic,Republican,Utilities
2021-01-08,62.81,63.09,60.6073,62.33,55.536,64789482,2019-01-20,2021-01-19,Republican,Democratic,Republican,Utilities
2020-12-18,62.68,63.58,61.86,62.29,55.0298,60073566,2019-01-20,2021-01-19,Republican,Democratic,Republican,Utilities
2020-12-11,62.2,63.065,61.82,62.24,54.9856,48161254,2019-01-20,2021-01-19,Republican,Democratic,Republican,Utilities
2020-12-04,63.58,64.17,62.055,62.41,55.1358,60511672,2019-01-20,2021-01-19,Republican,Democratic,Republican,Utilities
2020-11-27,63.79,64.44,63.26,63.76,56.3285,36890966,2019-01-20,2021-01-19,Republican,Democratic,Republican,Utilities
2020-11-20,66.91,66.95,63.0755,63.54,56.1341,57698178,2019-01-20,2021-01-19,Republican,Democratic,Republican,Utilities
2020-11-13,65.99,67.93,64.925,66.09,58.3869,88024849,2019-01-20,2021-01-19,Republican,Democratic,Republican,Utilities
2019-01-18,52.6,53.32,51.54,53.14,44.2995,103871881,2017-01-20,2019-01-19,Republican,Republican,Republican,Utilities
2019-01-11,52.44,53.53,52.12,53.23,44.3745,101286608,2017-01-20,2019-01-19,Republican,Republican,Republican,Utilities
2019-01-04,52.85,53.07,51.69,52.77,43.9911,82067117,2017-01-20,2019-01-19,Republican,Republican,Republican,Utilities
2018-12-28,53.71,54.11,50.81,52.83,44.0411,104322772,2017-01-20,2019-01-19,Republican,Republican,Republican,Utilities
2018-12-21,56.93,56.97,53.65,53.81,44.858,156444444,2017-01-20,2019-01-19,Republican,Republican,Republican,Utilities
