Start of Term,End of Term,Start Price,start_ticker,End Price,end_ticker,President,House,Senate,Sector,Percent Change
2001-01-20,2003-01-19,20.33,2002-11-15,20.5,2003-01-17,Republican,Republican,Democratic,Consumer Staples,0.8362026561731515
2003-01-20,2005-01-19,22.97,2004-11-12,23.19,2005-01-14,Republican,Republican,Republican,Consumer Staples,0.9577710056595665
2005-01-20,2007-01-19,25.55,2006-11-10,26.61,2007-01-19,Republican,Republican,Republican,Consumer Staples,4.148727984344418
2007-01-20,2009-01-19,23.48,2008-11-14,22.95,2009-01-16,Republican,Democratic,Democratic,Consumer Staples,-2.2572402044293063
2009-01-20,2011-01-19,28.71,2010-11-12,29.33,2011-01-14,Democratic,Democratic,Democratic,Consumer Staples,2.159526297457323
2011-01-20,2013-01-19,34.41,2012-11-16,36.48,2013-01-18,Democratic,Republican,Democratic,Consumer Staples,6.015693112467307
2013-01-20,2015-01-19,47.76,2014-11-14,49.27,2015-01-16,Democratic,Republican,Democratic,Consumer Staples,3.1616415410385366
2015-01-20,2017-01-19,50.54,2016-11-11,51.52,2017-01-13,Democratic,Republican,Republican,Consumer Staples,1.9390581717451603
2017-01-20,2019-01-19,56.06,2018-11-16,52.45,2019-01-18,Republican,Republican,Republican,Consumer Staples,-6.439529075990009
2019-01-20,2021-01-19,67.53,2020-11-13,65.63,2021-01-15,Republican,Democratic,Republican,Consumer Staples,-2.813564341774035
2021-01-20,2023-01-19,73.52,2022-11-11,74.74,2023-01-13,Democratic,Democratic,Democratic,Consumer Staples,1.6594124047878114
2023-01-20,2025-01-19,79.96,2024-11-15,82.38,2024-12-06,Democratic,Republican,Democratic,Consumer Staples,3.026513256628317
