Start of Term,End of Term,Start Price,start_ticker,End Price,end_ticker,President,House,Senate,Sector,Percent Change
2001-01-20,2003-01-19,23.0,2002-11-15,23.1,2003-01-17,Republican,Republican,Democratic,Financial,0.4347826086956583
2003-01-20,2005-01-19,29.83,2004-11-12,29.74,2005-01-14,Republican,Republican,Republican,Financial,-0.30170968823332167
2005-01-20,2007-01-19,35.8,2006-11-10,36.96,2007-01-19,Republican,Republican,Republican,Financial,3.2402234636871614
2007-01-20,2009-01-19,12.73,2008-11-14,9.68,2009-01-16,Republican,Democratic,Democratic,Financial,-23.95915161036921
2009-01-20,2011-01-19,14.94,2010-11-12,16.72,2011-01-14,Democratic,Democratic,Democratic,Financial,11.914323962516729
2011-01-20,2013-01-19,15.28,2012-11-16,17.15,2013-01-18,Democratic,Republican,Democratic,Financial,12.238219895287953
2013-01-20,2015-01-19,24.06,2014-11-14,23.49,2015-01-16,Democratic,Republican,Democratic,Financial,-2.3690773067331685
2015-01-20,2017-01-19,21.67,2016-11-11,23.51,2017-01-13,Democratic,Republican,Republican,Financial,8.491001384402399
2017-01-20,2019-01-19,26.79,2018-11-16,26.0,2019-01-18,Republican,Republican,Republican,Financial,-2.9488615154908517
2019-01-20,2021-01-19,27.03,2020-11-13,30.94,2021-01-15,Republican,Democratic,Republican,Financial,14.465408805031446
2021-01-20,2023-01-19,35.87,2022-11-11,36.12,2023-01-13,Democratic,Democratic,Democratic,Financial,0.6969612489545582
2023-01-20,2025-01-19,49.87,2024-11-15,50.4,2024-12-06,Democratic,Republican,Democratic,Financial,1.062763184279128
