Start of Term,End of Term,Start Price,start_ticker,End Price,end_ticker,President,House,Senate,Sector,Percent Change
2001-01-20,2003-01-19,27.78,2002-11-15,27.1,2003-01-17,Republican,Republican,Democratic,Health Care,-2.4478041756659454
2003-01-20,2005-01-19,28.84,2004-11-12,29.67,2005-01-14,Republican,Republican,Republican,Health Care,2.87794729542303
2005-01-20,2007-01-19,32.49,2006-11-10,34.67,2007-01-19,Republican,Republican,Republican,Health Care,6.7097568482610015
2007-01-20,2009-01-19,25.54,2008-11-14,26.06,2009-01-16,Republican,Democratic,Democratic,Health Care,2.036021926389975
2009-01-20,2011-01-19,30.93,2010-11-12,32.18,2011-01-14,Democratic,Democratic,Democratic,Health Care,4.04138376980278
2011-01-20,2013-01-19,38.93,2012-11-16,42.18,2013-01-18,Democratic,Republican,Democratic,Health Care,8.348317492936038
2013-01-20,2015-01-19,67.25,2014-11-14,70.37,2015-01-16,Democratic,Republican,Democratic,Health Care,4.6394052044609735
2015-01-20,2017-01-19,70.49,2016-11-11,70.92,2017-01-13,Democratic,Republican,Republican,Health Care,0.6100156050503714
2017-01-20,2019-01-19,92.04,2018-11-16,90.08,2019-01-18,Republican,Republican,Republican,Health Care,-2.1295089091699344
2019-01-20,2021-01-19,112.12,2020-11-13,116.97,2021-01-15,Republican,Democratic,Republican,Health Care,4.3257224402425924
2021-01-20,2023-01-19,133.13,2022-11-11,135.45,2023-01-13,Democratic,Democratic,Democratic,Health Care,1.742657552767966
2023-01-20,2025-01-19,141.84,2024-11-15,144.28,2024-12-06,Democratic,Republican,Democratic,Health Care,1.7202481669486729
