Start of Term,End of Term,Start Price,start_ticker,End Price,end_ticker,President,House,Senate,Sector,Percent Change
2001-01-20,2003-01-19,15.79,2002-11-15,15.22,2003-01-17,Republican,Republican,Democratic,Technology,-3.6098796706776346
2003-01-20,2005-01-19,21.06,2004-11-12,20.22,2005-01-14,Republican,Republican,Republican,Technology,-3.988603988603988
2005-01-20,2007-01-19,23.09,2006-11-10,23.38,2007-01-19,Republican,Republican,Republican,Technology,1.255954958856644
2007-01-20,2009-01-19,14.81,2008-11-14,14.94,2009-01-16,Republican,Democratic,Democratic,Technology,0.8777852802160634
2009-01-20,2011-01-19,24.34,2010-11-12,26.17,2011-01-14,Democratic,Democratic,Democratic,Technology,7.518488085456047
2011-01-20,2013-01-19,27.66,2012-11-16,29.39,2013-01-18,Democratic,Republican,Democratic,Technology,6.254519161243674
2013-01-20,2015-01-19,41.61,2014-11-14,40.38,2015-01-16,Democratic,Republican,Democratic,Technology,-2.9560201874549312
2015-01-20,2017-01-19,46.73,2016-11-11,49.66,2017-01-13,Democratic,Republican,Republican,Technology,6.27006205863471
2017-01-20,2019-01-19,68.21,2018-11-16,65.35,2019-01-18,Republican,Republican,Republican,Technology,-4.19293358745052
2019-01-20,2021-01-19,121.2,2020-11-13,127.42,2021-01-15,Republican,Democratic,Republican,Technology,5.132013201320131
2021-01-20,2023-01-19,133.14,2022-11-11,130.49,2023-01-13,Democratic,Democratic,Democratic,Technology,-1.9903860597866738
2023-01-20,2025-01-19,228.71,2024-11-15,240.84,2024-12-06,Democratic,Republican,Democratic,Technology,5.303659656333346
