Start of Term,End of Term,Start Price,start_ticker,End Price,end_ticker,President,House,Senate,Sector,Percent Change
2001-01-20,2003-01-19,18.15,2002-11-15,19.71,2003-01-17,Republican,Republican,Democratic,Utilities,8.595041322314064
2003-01-20,2005-01-19,27.82,2004-11-12,27.55,2005-01-14,Republican,Republican,Republican,Utilities,-0.9705248023005018
2005-01-20,2007-01-19,35.91,2006-11-10,36.05,2007-01-19,Republican,Republican,Republican,Utilities,0.38986354775828624
2007-01-20,2009-01-19,28.8,2008-11-14,28.9,2009-01-16,Republican,Democratic,Democratic,Utilities,0.3472222222222148
2009-01-20,2011-01-19,31.34,2010-11-12,31.74,2011-01-14,Democratic,Democratic,Democratic,Utilities,1.2763241863433268
2011-01-20,2013-01-19,34.36,2012-11-16,35.68,2013-01-18,Democratic,Republican,Democratic,Utilities,3.8416763678696166
2013-01-20,2015-01-19,44.94,2014-11-14,48.62,2015-01-16,Democratic,Republican,Democratic,Utilities,8.188696039163329
2015-01-20,2017-01-19,46.03,2016-11-11,48.51,2017-01-13,Democratic,Republican,Republican,Utilities,5.387790571366493
2017-01-20,2019-01-19,54.88,2018-11-16,53.14,2019-01-18,Republican,Republican,Republican,Utilities,-3.170553935860062
2019-01-20,2021-01-19,66.09,2020-11-13,62.99,2021-01-15,Republican,Democratic,Republican,Utilities,-4.690573460432745
2021-01-20,2023-01-19,68.08,2022-11-11,71.33,2023-01-13,Democratic,Democratic,Democratic,Utilities,4.7737955346650995
2023-01-20,2025-01-19,79.25,2024-11-15,79.69,2024-12-06,Democratic,Republican,Democratic,Utilities,0.5552050473186091
