Start of Term,End of Term,Start Price,start_ticker,End Price,end_ticker,President,House,Senate,Sector,Percent Change
2001-01-20,2003-01-19,26.33,2001-01-26,20.5,2003-01-17,Republican,Republican,Democratic,Consumer Staples,-22.14204329661982
2003-01-20,2005-01-19,19.53,2003-01-24,23.19,2005-01-14,Republican,Republican,Republican,Consumer Staples,18.740399385560675
2005-01-20,2007-01-19,23.17,2005-01-21,26.61,2007-01-19,Republican,Republican,Republican,Consumer Staples,14.84678463530426
2007-01-20,2009-01-19,26.49,2007-01-26,22.95,2009-01-16,Republican,Democratic,Democratic,Consumer Staples,-13.36353340883352
2009-01-20,2011-01-19,22.55,2009-01-23,29.33,2011-01-14,Democratic,Democratic,Democratic,Consumer Staples,30.06651884700664
2011-01-20,2013-01-19,29.49,2011-01-21,36.48,2013-01-18,Democratic,Republican,Democratic,Consumer Staples,23.702950152594095
2013-01-20,2015-01-19,36.76,2013-01-25,49.27,2015-01-16,Democratic,Republican,Democratic,Consumer Staples,34.031556039173026
2015-01-20,2017-01-19,49.65,2015-01-23,51.52,2017-01-13,Democratic,Republican,Republican,Consumer Staples,3.76636455186305
2017-01-20,2019-01-19,52.58,2017-01-20,52.45,2019-01-18,Republican,Republican,Republican,Consumer Staples,-0.24724229745149384
2019-01-20,2021-01-19,51.73,2019-01-25,65.63,2021-01-15,Republican,Democratic,Republican,Consumer Staples,26.87028803402281
2021-01-20,2023-01-19,65.07,2021-01-22,74.74,2023-01-13,Democratic,Democratic,Democratic,Consumer Staples,14.860919010296609
2023-01-20,2025-01-19,72.62,2023-01-20,82.38,2024-12-06,Democratic,Republican,Democratic,Consumer Staples,13.43982374001651
2001-01-20,2003-01-19,31.78,2001-01-26,22.22,2003-01-17,Republican,Republican,Democratic,Energy,-30.08181246066709
2003-01-20,2005-01-19,21.32,2003-01-24,36.46,2005-01-14,Republican,Republican,Republican,Energy,71.01313320825517
2005-01-20,2007-01-19,36.4,2005-01-21,56.58,2007-01-19,Republican,Republican,Republican,Energy,55.439560439560445
2007-01-20,2009-01-19,56.85,2007-01-26,46.54,2009-01-16,Republican,Democratic,Democratic,Energy,-18.13544415127529
2009-01-20,2011-01-19,47.06,2009-01-23,70.65,2011-01-14,Democratic,Democratic,Democratic,Energy,50.127496812579686
2011-01-20,2013-01-19,70.1,2011-01-21,75.49,2013-01-18,Democratic,Republican,Democratic,Energy,7.68901569186876
2013-01-20,2015-01-19,76.89,2013-01-25,75.23,2015-01-16,Democratic,Republican,Democratic,Energy,-2.1589283391858456
2015-01-20,2017-01-19,76.66,2015-01-23,74.38,2017-01-13,Democratic,Republican,Republican,Energy,-2.974171667101489
2017-01-20,2019-01-19,74.54,2017-01-20,63.84,2019-01-18,Republican,Republican,Republican,Energy,-14.354708881137645
2019-01-20,2021-01-19,62.93,2019-01-25,42.75,2021-01-15,Republican,Democratic,Republican,Energy,-32.067376450023836
2021-01-20,2023-01-19,42.07,2021-01-22,89.95,2023-01-13,Democratic,Democratic,Democratic,Energy,113.81031613976707
2023-01-20,2025-01-19,90.48,2023-01-20,91.02,2024-12-06,Democratic,Republican,Democratic,Energy,0.5968169761273121
2001-01-20,2003-01-19,29.52,2001-01-26,23.1,2003-01-17,Republican,Republican,Democratic,Financial,-21.74796747967479
2003-01-20,2005-01-19,21.83,2003-01-24,29.74,2005-01-14,Republican,Republican,Republican,Financial,36.234539624370136
2005-01-20,2007-01-19,29.54,2005-01-21,36.96,2007-01-19,Republican,Republican,Republican,Financial,25.118483412322277
2007-01-20,2009-01-19,36.82,2007-01-26,9.68,2009-01-16,Republican,Democratic,Democratic,Financial,-73.7099402498642
2009-01-20,2011-01-19,8.99,2009-01-23,16.72,2011-01-14,Democratic,Democratic,Democratic,Financial,85.98442714126806
2011-01-20,2013-01-19,16.4615,2011-01-21,17.15,2013-01-18,Democratic,Republican,Democratic,Financial,4.182486407678508
2013-01-20,2015-01-19,17.47,2013-01-25,23.49,2015-01-16,Democratic,Republican,Democratic,Financial,34.45907269605038
2015-01-20,2017-01-19,23.77,2015-01-23,23.51,2017-01-13,Democratic,Republican,Republican,Financial,-1.0938157341186285
2017-01-20,2019-01-19,23.15,2017-01-20,26.0,2019-01-18,Republican,Republican,Republican,Financial,12.311015118790504
2019-01-20,2021-01-19,26.0,2019-01-25,30.94,2021-01-15,Republican,Democratic,Republican,Financial,19.000000000000007
2021-01-20,2023-01-19,30.34,2021-01-22,36.12,2023-01-13,Democratic,Democratic,Democratic,Financial,19.05075807514831
2023-01-20,2025-01-19,35.35,2023-01-20,50.4,2024-12-06,Democratic,Republican,Democratic,Financial,42.57425742574256
2001-01-20,2003-01-19,28.98,2001-01-26,27.1,2003-01-17,Republican,Republican,Democratic,Health Care,-6.4872325741890915
2003-01-20,2005-01-19,26.32,2003-01-24,29.67,2005-01-14,Republican,Republican,Republican,Health Care,12.727963525835872
2005-01-20,2007-01-19,29.37,2005-01-21,34.67,2007-01-19,Republican,Republican,Republican,Health Care,18.045624787197823
2007-01-20,2009-01-19,34.23,2007-01-26,26.06,2009-01-16,Republican,Democratic,Democratic,Health Care,-23.86795208881098
2009-01-20,2011-01-19,26.08,2009-01-23,32.18,2011-01-14,Democratic,Democratic,Democratic,Health Care,23.389570552147244
2011-01-20,2013-01-19,32.1875,2011-01-21,42.18,2013-01-18,Democratic,Republican,Democratic,Health Care,31.044660194174757
2013-01-20,2015-01-19,42.85,2013-01-25,70.37,2015-01-16,Democratic,Republican,Democratic,Health Care,64.22403733955659
2015-01-20,2017-01-19,70.94,2015-01-23,70.92,2017-01-13,Democratic,Republican,Republican,Health Care,-0.02819283901888359
2017-01-20,2019-01-19,69.84,2017-01-20,90.08,2019-01-18,Republican,Republican,Republican,Health Care,28.98052691867124
2019-01-20,2021-01-19,88.92,2019-01-25,116.97,2021-01-15,Republican,Democratic,Republican,Health Care,31.54520917678812
2021-01-20,2023-01-19,117.59,2021-01-22,135.45,2023-01-13,Democratic,Democratic,Democratic,Health Care,15.188366357683464
2023-01-20,2025-01-19,133.91,2023-01-20,144.28,2024-12-06,Democratic,Republican,Democratic,Health Care,7.744007168994105
2001-01-20,2003-01-19,37.38,2001-01-26,15.22,2003-01-17,Republican,Republican,Democratic,Technology,-59.283039058319964
2003-01-20,2005-01-19,14.68,2003-01-24,20.22,2005-01-14,Republican,Republican,Republican,Technology,37.73841961852861
2005-01-20,2007-01-19,19.73,2005-01-21,23.38,2007-01-19,Republican,Republican,Republican,Technology,18.49974657881398
2007-01-20,2009-01-19,23.35,2007-01-26,14.94,2009-01-16,Republican,Democratic,Democratic,Technology,-36.017130620985014
2009-01-20,2011-01-19,14.89,2009-01-23,26.17,2011-01-14,Democratic,Democratic,Democratic,Technology,75.75554063129618
2011-01-20,2013-01-19,25.72,2011-01-21,29.39,2013-01-18,Democratic,Republican,Democratic,Technology,14.269051321928467
2013-01-20,2015-01-19,29.3,2013-01-25,40.38,2015-01-16,Democratic,Republican,Democratic,Technology,37.815699658703075
2015-01-20,2017-01-19,41.45,2015-01-23,49.66,2017-01-13,Democratic,Republican,Republican,Technology,19.80699638118213
2017-01-20,2019-01-19,49.8,2017-01-20,65.35,2019-01-18,Republican,Republican,Republican,Technology,31.22489959839357
2019-01-20,2021-01-19,65.93,2019-01-25,127.42,2021-01-15,Republican,Democratic,Republican,Technology,93.26558471105716
2021-01-20,2023-01-19,132.83,2021-01-22,130.49,2023-01-13,Democratic,Democratic,Democratic,Technology,-1.7616502296168057
2023-01-20,2025-01-19,131.34,2023-01-20,240.84,2024-12-06,Democratic,Republican,Democratic,Technology,83.37140246687986
2001-01-20,2003-01-19,31.13,2001-01-26,19.71,2003-01-17,Republican,Republican,Democratic,Utilities,-36.6848699004176
2003-01-20,2005-01-19,18.98,2003-01-24,27.55,2005-01-14,Republican,Republican,Republican,Utilities,45.152792413066386
2005-01-20,2007-01-19,27.47,2005-01-21,36.05,2007-01-19,Republican,Republican,Republican,Utilities,31.234073534765194
2007-01-20,2009-01-19,36.25,2007-01-26,28.9,2009-01-16,Republican,Democratic,Democratic,Utilities,-20.275862068965523
2009-01-20,2011-01-19,28.77,2009-01-23,31.74,2011-01-14,Democratic,Democratic,Democratic,Utilities,10.323253388946815
2011-01-20,2013-01-19,31.95,2011-01-21,35.68,2013-01-18,Democratic,Republican,Democratic,Utilities,11.674491392801253
2013-01-20,2015-01-19,36.23,2013-01-25,48.62,2015-01-16,Democratic,Republican,Democratic,Utilities,34.19817830527188
2015-01-20,2017-01-19,49.14,2015-01-23,48.51,2017-01-13,Democratic,Republican,Republican,Utilities,-1.2820512820512873
2017-01-20,2019-01-19,48.64,2017-01-20,53.14,2019-01-18,Republican,Republican,Republican,Utilities,9.251644736842104
2019-01-20,2021-01-19,53.32,2019-01-25,62.99,2021-01-15,Republican,Democratic,Republican,Utilities,18.1357839459865
2021-01-20,2023-01-19,62.84,2021-01-22,71.33,2023-01-13,Democratic,Democratic,Democratic,Utilities,13.510502864417559
2023-01-20,2025-01-19,69.23,2023-01-20,79.69,2024-12-06,Democratic,Republican,Democratic,Utilities,15.109056767297405
