Start of Term,End of Term,Start Price,start_ticker,End Price,end_ticker,President,House,Senate,Sector,Percent Change
2001-01-20,2003-01-19,28.98,2001-01-26,27.1,2003-01-17,Republican,Republican,Democratic,Health Care,-6.4872325741890915
2003-01-20,2005-01-19,26.32,2003-01-24,29.67,2005-01-14,Republican,Republican,Republican,Health Care,12.727963525835872
2005-01-20,2007-01-19,29.37,2005-01-21,34.67,2007-01-19,Republican,Republican,Republican,Health Care,18.045624787197823
2007-01-20,2009-01-19,34.23,2007-01-26,26.06,2009-01-16,Republican,Democratic,Democratic,Health Care,-23.86795208881098
2009-01-20,2011-01-19,26.08,2009-01-23,32.18,2011-01-14,Democratic,Democratic,Democratic,Health Care,23.389570552147244
2011-01-20,2013-01-19,32.1875,2011-01-21,42.18,2013-01-18,Democratic,Republican,Democratic,Health Care,31.044660194174757
2013-01-20,2015-01-19,42.85,2013-01-25,70.37,2015-01-16,Democratic,Republican,Democratic,Health Care,64.22403733955659
2015-01-20,2017-01-19,70.94,2015-01-23,70.92,2017-01-13,Democratic,Republican,Republican,Health Care,-0.02819283901888359
2017-01-20,2019-01-19,69.84,2017-01-20,90.08,2019-01-18,Republican,Republican,Republican,Health Care,28.98052691867124
2019-01-20,2021-01-19,88.92,2019-01-25,116.97,2021-01-15,Republican,Democratic,Republican,Health Care,31.54520917678812
2021-01-20,2023-01-19,117.59,2021-01-22,135.45,2023-01-13,Democratic,Democratic,Democratic,Health Care,15.188366357683464
2023-01-20,2025-01-19,133.91,2023-01-20,144.28,2024-12-06,Democratic,Republican,Democratic,Health Care,7.744007168994105
