Start of Term,End of Term,Start Price,start_ticker,End Price,end_ticker,President,House,Senate,Sector,Percent Change
2001-01-20,2003-01-19,37.38,2001-01-26,15.22,2003-01-17,Republican,Republican,Democratic,Technology,-59.283039058319964
2003-01-20,2005-01-19,14.68,2003-01-24,20.22,2005-01-14,Republican,Republican,Republican,Technology,37.73841961852861
2005-01-20,2007-01-19,19.73,2005-01-21,23.38,2007-01-19,Republican,Republican,Republican,Technology,18.49974657881398
2007-01-20,2009-01-19,23.35,2007-01-26,14.94,2009-01-16,Republican,Democratic,Democratic,Technology,-36.017130620985014
2009-01-20,2011-01-19,14.89,2009-01-23,26.17,2011-01-14,Democratic,Democratic,Democratic,Technology,75.75554063129618
2011-01-20,2013-01-19,25.72,2011-01-21,29.39,2013-01-18,Democratic,Republican,Democratic,Technology,14.269051321928467
2013-01-20,2015-01-19,29.3,2013-01-25,40.38,2015-01-16,Democratic,Republican,Democratic,Technology,37.815699658703075
2015-01-20,2017-01-19,41.45,2015-01-23,49.66,2017-01-13,Democratic,Republican,Republican,Technology,19.80699638118213
2017-01-20,2019-01-19,49.8,2017-01-20,65.35,2019-01-18,Republican,Republican,Republican,Technology,31.22489959839357
2019-01-20,2021-01-19,65.93,2019-01-25,127.42,2021-01-15,Republican,Democratic,Republican,Technology,93.26558471105716
2021-01-20,2023-01-19,132.83,2021-01-22,130.49,2023-01-13,Democratic,Democratic,Democratic,Technology,-1.7616502296168057
2023-01-20,2025-01-19,131.34,2023-01-20,240.84,2024-12-06,Democratic,Republican,Democratic,Technology,83.37140246687986
