Start of Term,End of Term,Start Price,start_ticker,End Price,end_ticker,President,House,Senate,Sector,Percent Change
2001-01-20,2003-01-19,31.13,2001-01-26,19.71,2003-01-17,Republican,Republican,Democratic,Utilities,-36.6848699004176
2003-01-20,2005-01-19,18.98,2003-01-24,27.55,2005-01-14,Republican,Republican,Republican,Utilities,45.152792413066386
2005-01-20,2007-01-19,27.47,2005-01-21,36.05,2007-01-19,Republican,Republican,Republican,Utilities,31.234073534765194
2007-01-20,2009-01-19,36.25,2007-01-26,28.9,2009-01-16,Republican,Democratic,Democratic,Utilities,-20.275862068965523
2009-01-20,2011-01-19,28.77,2009-01-23,31.74,2011-01-14,Democratic,Democratic,Democratic,Utilities,10.323253388946815
2011-01-20,2013-01-19,31.95,2011-01-21,35.68,2013-01-18,Democratic,Republican,Democratic,Utilities,11.674491392801253
2013-01-20,2015-01-19,36.23,2013-01-25,48.62,2015-01-16,Democratic,Republican,Democratic,Utilities,34.19817830527188
2015-01-20,2017-01-19,49.14,2015-01-23,48.51,2017-01-13,Democratic,Republican,Republican,Utilities,-1.2820512820512873
2017-01-20,2019-01-19,48.64,2017-01-20,53.14,2019-01-18,Republican,Republican,Republican,Utilities,9.251644736842104
2019-01-20,2021-01-19,53.32,2019-01-25,62.99,2021-01-15,Republican,Democratic,Republican,Utilities,18.1357839459865
2021-01-20,2023-01-19,62.84,2021-01-22,71.33,2023-01-13,Democratic,Democratic,Democratic,Utilities,13.510502864417559
2023-01-20,2025-01-19,69.23,2023-01-20,79.69,2024-12-06,Democratic,Republican,Democratic,Utilities,15.109056767297405
