,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount
2024-12-09,82.5000,82.8800,82.0250,82.2500,82.2500,11466642,0.0000
2024-12-06,83.1400,83.2850,82.0450,82.3800,82.3800,51724124,0.0000
2024-11-29,82.3800,83.3000,82.0400,83.2200,83.2200,27267351,0.0000
2024-11-22,80.1400,81.9100,79.5250,81.8400,81.8400,40346332,0.0000
2024-11-15,80.7100,81.4500,79.9150,79.9600,79.9600,48516073,0.0000
2024-11-08,80.2700,81.2100,79.3550,80.8200,80.8200,59880412,0.0000
2024-11-01,81.3800,81.5600,79.9550,80.1500,80.1500,42500492,0.0000
2024-10-25,82.2100,82.3900,80.9900,81.0600,81.0600,37302132,0.0000
2024-10-18,81.6000,83.1900,81.4700,82.2400,82.2400,41301803,0.0000
2024-10-11,81.5000,81.7200,80.4750,81.6400,81.6400,44629538,0.0000
2024-10-04,83.3200,83.4800,80.9500,81.4700,81.4700,58954724,0.0000
2024-09-27,82.4400,83.5000,82.3800,83.0200,83.0200,42070523,0.4390
2024-09-20,84.1500,84.5300,82.4300,83.0500,82.6136,56789059,0.0000
2024-09-13,83.0000,83.9950,82.0800,83.9300,83.4889,53233179,0.0000
2024-09-06,82.5300,83.6300,82.4300,82.9900,82.5539,59958768,0.0000
2024-08-30,81.9300,82.7650,81.6900,82.5100,82.0764,34840834,0.0000
2024-08-23,80.6000,82.2899,80.5650,81.8400,81.4099,36359852,0.0000
2024-08-16,79.1100,80.8100,78.3500,80.5100,80.0869,39235370,0.0000
2024-08-09,79.1200,79.3950,77.4400,79.1500,78.7340,83250895,0.0000
2024-08-02,78.3400,79.7500,77.2400,79.2600,78.8435,72029794,0.0000
2024-07-26,78.2700,78.8800,77.2800,78.4900,78.0775,52924959,0.0000
2024-07-19,77.4000,79.1500,76.9150,78.0900,77.6796,61460242,0.0000
2024-07-12,77.4400,77.8600,76.8900,77.4500,77.0430,38814510,0.0000
2024-07-05,76.9800,77.4300,75.8900,77.3800,76.9734,30312539,0.0000
2024-06-28,77.2700,78.0100,76.3750,76.5800,76.1776,41822847,0.5819
2024-06-21,76.6600,78.1700,76.4950,77.6700,76.6890,36241001,0.0000
