,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount
2024-12-09,50.4400,50.4900,49.6900,49.7100,49.7100,41063495,0.0000
2024-12-06,51.4200,51.4893,50.0850,50.4000,50.4000,200463927,0.0000
2024-11-29,51.0100,51.6200,50.7600,51.3400,51.3400,122892643,0.0000
2024-11-22,49.9100,50.7800,49.2950,50.7300,50.7300,181026615,0.0000
2024-11-15,49.6800,50.1350,49.5450,49.8700,49.8700,233041993,0.0000
2024-11-08,46.6100,49.6800,46.0250,49.1900,49.1900,361388623,0.0000
2024-11-01,46.8700,47.4300,46.4800,46.6400,46.6400,181608092,0.0000
2024-10-25,47.5400,47.6500,46.5200,46.6300,46.6300,122067462,0.0000
2024-10-18,46.5900,47.8100,46.4600,47.6200,47.6200,203284352,0.0000
2024-10-11,45.6500,46.6000,44.9000,46.5100,46.5100,170674171,0.0000
2024-10-04,45.0400,45.6900,44.6650,45.6500,45.6500,157993176,0.0000
2024-09-27,45.4900,45.6700,44.6500,45.1500,45.1500,159174968,0.1653
2024-09-20,44.7000,45.8100,44.7000,45.6600,45.4945,201897940,0.0000
2024-09-13,44.7100,45.2000,43.3800,44.5100,44.3487,230175002,0.0000
2024-09-06,45.5000,45.8750,44.1900,44.2900,44.1295,162255492,0.0000
2024-08-30,44.5800,45.7800,44.4700,45.7400,45.5742,132720309,0.0000
2024-08-23,43.7800,44.5400,43.5700,44.4300,44.2690,121159604,0.0000
2024-08-16,42.4800,43.7700,42.0900,43.7700,43.6113,134772240,0.0000
2024-08-09,41.1400,42.5050,40.6600,42.4000,42.2463,274594338,0.0000
2024-08-02,43.5100,44.1099,41.8000,42.0600,41.9075,230969836,0.0000
2024-07-26,42.9500,43.5400,42.5800,43.4100,43.2527,178156580,0.0000
2024-07-19,42.5300,44.1050,42.5000,42.8500,42.6947,259528804,0.0000
2024-07-12,41.6000,42.5600,41.3801,42.3800,42.2264,174245582,0.0000
2024-07-05,41.2800,41.7550,41.0300,41.5400,41.3894,105698556,0.0000
2024-06-28,41.3400,41.8450,40.7200,41.1100,40.9610,185594542,0.1628
2024-06-21,40.5500,41.5950,40.4800,41.3300,41.0196,160379003,0.0000
2024-06-14,41.3000,41.3700,40.3700,40.6500,40.3447,201184634,0.0000
2024-06-07,41.6300,41.7100,41.0000,41.4800,41.1685,170572076,0.0000
2024-05-31,41.5200,41.6800,40.6950,41.6400,41.3273,143061837,0.0000
2024-05-24,42.4000,42.4600,41.2000,41.6100,41.2975,183039936,0.0000
2024-05-17,41.9500,42.4900,41.6600,42.4900,42.1709,162192592,0.0000
2024-05-10,40.8600,41.9100,40.7700,41.8300,41.5159,179229290,0.0000
2024-05-03,40.8100,40.9873,40.1700,40.5500,40.2455,207892978,0.0000
2024-04-26,40.6000,41.2300,40.4300,40.8200,40.5135,207309884,0.0000
2024-04-19,40.5800,40.7400,39.5300,40.3800,40.0768,284520881,0.0000
2024-04-12,41.5800,41.8750,39.9050,40.0600,39.7592,283664634,0.0000
2024-04-05,42.1600,42.1950,41.1300,41.5700,41.2578,209749727,0.0000
2024-03-28,41.3900,42.2200,41.2600,42.1200,41.8037,140079922,0.0000
2024-03-22,40.7800,42.0350,40.5750,41.4200,41.1090,209386449,0.1525
2024-03-15,40.4700,41.2500,40.4000,40.7900,40.3332,265475557,0.0000
2024-03-08,40.2200,40.8350,40.2100,40.6200,40.1651,245414619,0.0000
2024-03-01,40.2600,40.5500,39.9350,40.2900,39.8388,199434876,0.0000
2024-02-23,39.3500,40.4650,39.3150,40.3000,39.8487,177590002,0.0000
2024-02-16,39.0800,39.8500,38.4200,39.6300,39.1862,257631396,0.0000
2024-02-09,38.7600,39.1650,38.5750,39.0800,38.6423,215437673,0.0000
2024-02-02,38.5300,39.4500,38.2500,38.9800,38.5434,278409760,0.0000
2024-01-26,38.0900,38.7179,38.0100,38.6500,38.2171,231268516,0.0000
2024-01-19,37.2800,37.9800,36.9500,37.9300,37.5052,184240630,0.0000
2024-01-12,37.7600,38.0100,37.3700,37.6000,37.1789,202909146,0.0000
2024-01-05,37.5000,37.9500,37.3800,37.7500,37.3272,159935426,0.0000
2023-12-29,37.3700,37.8000,37.3100,37.6000,37.1789,105905328,0.0000
2023-12-22,37.3500,37.5800,36.9000,37.3400,36.9218,186754189,0.1835
2023-12-15,36.1400,37.7100,36.1400,37.3500,36.7508,261512342,0.0000
2023-12-08,35.9600,36.2850,35.7201,36.1300,35.5504,175428140,0.0000
2023-12-01,35.2500,36.2100,35.1600,36.1700,35.5898,199599696,0.0000
2023-11-24,34.9600,35.4350,34.8850,35.3800,34.8124,110578360,0.0000
2023-11-17,33.7900,35.0200,33.7400,35.0100,34.4484,182187695,0.0000
2023-11-10,33.8700,33.9400,33.4600,33.9100,33.3660,167589753,0.0000
2023-11-03,31.6700,33.9400,31.5900,33.7800,33.2381,248010537,0.0000
2023-10-27,32.1300,32.3650,31.3550,31.4500,30.9455,280082266,0.0000
2023-10-20,33.4600,33.9350,32.1700,32.2000,31.6835,261034085,0.0000
2023-10-13,32.7400,33.6550,32.7100,33.2100,32.6773,237093988,0.0000
2023-10-06,33.0600,33.2250,32.2100,33.0400,32.5100,237874062,0.0000
2023-09-29,33.5900,33.7600,32.9500,33.1700,32.6379,252166635,0.0000
2023-09-22,34.6300,34.9600,33.6600,33.6600,33.1200,189988508,0.1551
2023-09-15,34.4600,35.0552,34.3703,34.8300,34.1191,227060896,0.0000
2023-09-08,34.6500,34.7900,34.0700,34.3000,33.5999,161660041,0.0000
2023-09-01,34.1000,34.7959,34.0700,34.6900,33.9820,181174936,0.0000
2023-08-25,34.0300,34.3100,33.5744,33.9900,33.2963,181829669,0.0000
2023-08-18,34.8200,34.9200,33.7200,33.9800,33.2865,193877714,0.0000
2023-08-11,35.1300,35.4600,34.6550,34.9200,34.2073,174294609,0.0000
2023-08-04,35.2700,35.4400,34.7200,34.9100,34.1975,172120165,0.0000
2023-07-28,35.2800,35.7100,35.0100,35.2000,34.4816,180657583,0.0000
2023-07-21,34.2100,35.4600,34.2100,35.2600,34.5403,207552497,0.0000
2023-07-14,33.5950,34.7400,33.5700,34.2500,33.5510,195561053,0.0000
2023-07-07,33.7100,34.0000,33.2500,33.5900,32.9044,138258471,0.0000
2023-06-30,32.6900,33.8500,32.5800,33.7100,33.0220,188972858,0.0000
2023-06-23,33.2100,33.3000,32.5150,32.7400,32.0718,160878986,0.1503
2023-06-16,33.1800,33.8300,32.8900,33.5800,32.7463,239026566,0.0000
2023-06-09,32.8400,33.2900,32.4800,33.1500,32.3270,218580813,0.0000
2023-06-02,32.1600,32.9150,31.4900,32.8000,31.9856,239881660,0.0000
2023-05-26,32.7100,32.7800,31.6600,32.1100,31.3128,209955999,0.0000
2023-05-19,31.9600,32.9200,31.8400,32.6000,31.7906,193634105,0.0000
2023-05-12,32.5100,32.6200,31.6900,31.9000,31.1080,176712146,0.0000
2023-05-05,33.2600,33.4300,31.2600,32.3300,31.5273,304785622,0.0000
2023-04-28,33.1950,33.3200,32.1200,33.1700,32.3465,246283437,0.0000
2023-04-21,32.8600,33.5300,32.7200,33.2200,32.3952,239399940,0.0000
2023-04-14,31.8700,33.1500,31.8000,32.8800,32.0637,269063825,0.0000
2023-04-06,32.1150,32.3400,31.6600,31.9900,31.1958,191880365,0.0000
2023-03-31,31.5200,32.1600,31.2200,32.1500,31.3518,250616746,0.0000
2023-03-24,31.0700,32.0500,30.3900,30.9900,30.2206,418171643,0.1526
2023-03-17,31.7600,32.8450,30.8950,30.9800,30.0636,697163674,0.0000
2023-03-10,36.0100,36.2450,32.5250,32.9300,31.9560,408453744,0.0000
2023-03-03,35.9900,36.0500,35.0100,35.9900,34.9254,168487428,0.0000
2023-02-24,36.0800,36.1300,35.2600,35.6600,34.6052,158580629,0.0000
2023-02-17,36.4700,37.0750,36.0900,36.3900,35.3136,164513034,0.0000
2023-02-10,36.3800,37.1052,36.0700,36.4900,35.4107,172268100,0.0000
2023-02-03,36.0600,36.9000,35.9700,36.5900,35.5077,198558079,0.0000
2023-01-27,35.3800,36.4600,35.2650,36.2500,35.1778,178520998,0.0000
2023-01-20,36.0300,36.0500,34.5600,35.3500,34.3044,222537865,0.0000
2023-01-13,35.5000,36.1700,35.0742,36.1200,35.0516,237968269,0.0000
2023-01-06,34.4500,35.4900,34.0700,35.3800,34.3335,168881235,0.0000
2022-12-30,34.0200,34.3500,33.7800,34.2000,33.1884,101356051,0.0000
2022-12-23,33.4000,34.1600,33.1900,33.9500,32.9458,156946227,0.2096
2022-12-16,34.5500,35.9000,33.3943,33.7000,32.4992,312868482,0.0000
2022-12-09,35.6600,35.7200,34.4500,34.5300,33.2996,223766595,0.0000
2022-12-02,35.9100,36.4900,35.1400,35.9300,34.6498,222944022,0.0000
2022-11-25,35.3200,36.1600,35.2800,36.1100,34.8233,93396515,0.0000
2022-11-18,35.7700,35.8750,34.7550,35.3700,34.1097,203819529,0.0000
2022-11-11,34.1600,36.0300,33.7950,35.8700,34.5919,220779857,0.0000
2022-11-04,33.9700,34.6000,33.0800,33.9100,32.7017,219723532,0.0000
2022-10-28,32.3800,34.2300,32.2800,34.1900,32.9718,189733080,0.0000
2022-10-21,31.6700,32.6600,31.1200,32.1900,31.0430,228190324,0.0000
2022-10-14,31.0600,32.1900,29.5900,31.0100,29.9051,273682254,0.0000
2022-10-07,30.6600,32.3700,30.3000,30.8900,29.7893,213393362,0.0000
2022-09-30,30.8200,31.2100,30.1200,30.3600,29.2782,236553120,0.0000
2022-09-23,32.5000,33.2750,30.6000,31.0500,29.9436,235781867,0.1725
2022-09-16,34.5000,34.8200,32.7050,33.0600,31.7175,243520853,0.0000
2022-09-09,33.0600,34.4500,32.4800,34.3600,32.9647,173143045,0.0000
2022-09-02,33.4700,33.8100,32.5100,32.8900,31.5544,199769905,0.0000
2022-08-26,34.4500,34.9150,33.6900,33.7200,32.3507,145369430,0.0000
2022-08-19,35.2000,35.9700,34.8400,34.9600,33.5403,149378396,0.0000
2022-08-12,33.9400,35.5700,33.6350,35.5600,34.1160,179516954,0.0000
2022-08-05,33.3900,33.8500,33.0200,33.6900,32.3219,158137675,0.0000
2022-07-29,32.9500,33.8200,32.4200,33.7100,32.3411,175575301,0.0000
2022-07-22,32.2300,33.1600,31.5200,32.7500,31.4201,184062720,0.0000
2022-07-15,31.9000,32.2000,30.3700,31.7800,30.4895,237667299,0.0000
2022-07-08,31.3800,32.3350,31.0200,32.0800,30.7773,161720841,0.0000
2022-07-01,32.5900,32.8700,30.8500,31.8800,30.5854,306820079,0.0000
2022-06-24,31.4700,32.3700,30.6750,32.3400,31.0267,240939836,0.1639
2022-06-17,31.7100,32.1000,30.5800,30.9300,29.5198,485345207,0.0000
2022-06-10,35.1600,35.5200,32.5000,32.5300,31.0468,227018743,0.0000
2022-06-03,35.2800,35.7450,34.5700,34.8700,33.2802,195489878,0.0000
2022-05-27,33.5500,35.6400,33.2200,35.5700,33.9482,322919128,0.0000
2022-05-20,33.4000,34.2350,32.2250,32.9200,31.4191,342338334,0.0000
2022-05-13,34.2700,34.4800,32.4100,33.5300,32.0013,482084234,0.0000
2022-05-06,34.6700,36.0950,33.8400,34.7400,33.1561,466220847,0.0000
2022-04-29,35.8700,36.3100,34.4301,34.5100,32.9366,391567070,0.0000
2022-04-22,36.6600,38.3150,36.1300,36.1700,34.5209,277061974,0.0000
2022-04-14,37.7900,38.1550,36.8800,36.8900,35.2081,247641137,0.0000
2022-04-08,38.1300,38.3564,36.9804,37.8900,36.1625,343880029,0.0000
2022-04-01,39.4000,40.0050,37.9501,38.2200,36.4774,295177040,0.0000
2022-03-25,39.0200,39.6900,38.6100,39.5200,37.7181,224516341,0.1519
2022-03-18,36.9500,39.1000,36.6875,39.0000,37.0767,347967592,0.0000
2022-03-11,36.8900,37.2850,35.4900,36.4000,34.6049,468013083,0.0000
2022-03-04,38.1700,38.7650,36.8000,37.2300,35.3940,503296029,0.0000
2022-02-25,39.0400,39.4300,36.8000,39.1000,37.1718,365894918,0.0000
2022-02-18,40.0900,40.4100,39.0200,39.2200,37.2859,275101222,0.0000
2022-02-11,40.1500,41.3850,39.8700,40.1100,38.1320,322360565,0.0000
2022-02-04,38.4500,40.4400,38.2200,40.1000,38.1225,298461244,0.0000
2022-01-28,37.5400,39.3400,36.8200,38.7200,36.8105,544503286,0.0000
2022-01-21,40.5600,40.6000,38.0400,38.2000,36.3162,352623344,0.0000
2022-01-14,41.4300,41.6975,40.3350,40.8300,38.8165,318502640,0.0000
2022-01-07,39.3400,41.2700,39.3200,41.1700,39.1397,320293559,0.0000
2021-12-31,38.9400,39.5300,38.7400,39.0500,37.1242,154216997,0.0000
2021-12-23,37.8100,39.1650,37.2100,38.8200,36.9056,231670191,0.1844
2021-12-17,38.9600,39.7400,38.3500,38.5900,36.5082,335460829,0.0000
2021-12-10,38.6300,39.4800,38.3300,39.0500,36.9433,322647369,0.0000
2021-12-03,39.2200,39.3600,37.5400,38.0300,35.9784,497855709,0.0000
2021-11-26,39.5400,40.2600,38.3300,38.7700,36.6784,260439525,0.0000
2021-11-19,40.2600,40.3600,38.7150,39.0200,36.9150,231091167,0.0000
2021-11-12,40.2700,40.5350,39.7643,40.1500,37.9840,212324122,0.0000
2021-11-05,40.5400,40.6800,39.6900,40.0200,37.8610,216922017,0.0000
