,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount
2024-12-09,144.4200,145.0900,143.9200,144.7000,144.7000,6244844,0.0000
2024-12-06,147.3200,147.5800,144.1050,144.2800,144.2800,31549199,0.0000
2024-11-29,144.8100,147.7900,144.6900,147.4100,147.4100,22327467,0.0000
2024-11-22,141.4700,145.0200,140.2600,144.1600,144.1600,37767787,0.0000
2024-11-15,149.8500,150.6000,141.5700,141.8400,141.8400,41258922,0.0000
2024-11-08,147.3800,150.9450,145.9400,150.1800,150.1800,39789762,0.0000
2024-11-01,149.0100,149.4900,145.6200,147.7400,147.7400,35076025,0.0000
2024-10-25,152.7300,153.1400,148.4200,148.5900,148.5900,25283988,0.0000
2024-10-18,154.0600,155.0150,152.0600,153.1300,153.1300,33672558,0.0000
2024-10-11,151.6500,154.0700,150.6850,153.8900,153.8900,32229215,0.0000
2024-10-04,152.8100,154.3550,150.8800,151.6400,151.6400,37096323,0.0000
2024-09-27,155.1900,155.2100,152.2300,153.0200,153.0200,31183991,0.5772
2024-09-20,156.9800,157.5900,154.7600,155.2800,154.7016,33400090,0.0000
2024-09-13,154.3400,156.6400,152.8500,156.1600,155.5784,29340262,0.0000
2024-09-06,156.8800,159.6400,153.6300,153.9500,153.3766,30787791,0.0000
2024-08-30,155.6000,157.2800,155.0600,157.2000,156.6145,24729278,0.0000
2024-08-23,152.8800,155.5600,152.7900,155.4500,154.8710,24159595,0.0000
2024-08-16,150.3400,153.1150,148.9800,152.8700,152.3006,25147177,0.0000
2024-08-09,148.5000,150.3600,145.5400,149.9800,149.4214,62425886,0.0000
2024-08-02,149.9800,151.7700,148.6200,150.8600,150.2981,50014777,0.0000
2024-07-26,148.6200,151.5300,147.8800,149.9600,149.4015,33115631,0.0000
2024-07-19,148.8400,151.3300,146.8600,147.8700,147.3192,40821177,0.0000
2024-07-12,144.5700,148.8850,143.7000,148.2700,147.7177,31988717,0.0000
2024-07-05,146.0400,147.4850,142.7300,144.4100,143.8721,26599232,0.0000
2024-06-28,146.8300,147.6100,145.0300,145.7500,145.2071,28485367,0.5725
2024-06-21,145.2600,147.1200,144.9600,146.8100,145.6961,24582414,0.0000
2024-06-14,146.2000,147.0400,144.5800,145.8800,144.7731,25945130,0.0000
2024-06-07,143.6000,147.1600,143.3500,146.4300,145.3190,33284078,0.0000
2024-05-31,144.1000,144.1000,140.6750,143.7000,142.6097,30554846,0.0000
2024-05-24,146.1600,146.9450,144.3300,144.4200,143.3242,23875609,0.0000
2024-05-17,143.8800,146.4400,143.1100,146.3100,145.1999,33796588,0.0000
2024-05-10,140.9500,144.0900,140.6400,143.5900,142.5005,31933714,0.0000
2024-05-03,140.1300,141.8400,139.5500,140.8300,139.7615,43741528,0.0000
2024-04-26,139.3800,141.5600,138.9300,139.9600,138.8981,40232726,0.0000
2024-04-19,140.1200,140.6300,138.2100,138.9500,137.8957,46808621,0.0000
2024-04-12,143.1100,143.3550,138.4600,138.9100,137.8560,54466845,0.0000
2024-04-05,147.6400,147.7300,141.6100,143.2200,142.1333,48341196,0.0000
2024-03-28,145.7050,148.2317,145.0110,147.7300,146.6091,29083117,0.0000
2024-03-22,145.4300,146.2200,144.5200,145.4400,144.3365,34318072,0.5229
2024-03-15,146.1000,147.7000,144.8450,145.3600,143.7380,42873371,0.0000
2024-03-08,145.9200,147.2500,144.5500,146.4300,144.7961,42727680,0.0000
2024-03-01,147.7700,148.1100,144.5100,146.3400,144.7071,40838522,0.0000
2024-02-23,145.7300,148.2701,144.2400,147.8600,146.2102,34659066,0.0000
2024-02-16,143.8200,146.6050,142.1500,145.6200,143.9951,45235739,0.0000
2024-02-09,142.5000,145.0300,141.7800,144.0100,142.4031,41795747,0.0000
2024-02-02,139.4000,142.6450,139.3100,141.9900,140.4056,41526160,0.0000
2024-01-26,139.5800,140.6750,137.2100,139.2700,137.7160,39151696,0.0000
2024-01-19,140.1700,140.3600,137.5200,139.4600,137.9039,33535585,0.0000
2024-01-12,139.1600,141.5600,138.5900,140.5200,138.9521,42182819,0.0000
2024-01-05,136.0400,140.0000,135.9650,139.1200,137.5677,42310687,0.0000
2023-12-29,134.9100,136.6950,134.7400,136.3800,134.8582,20518893,0.0000
2023-12-22,134.0600,135.4400,132.7200,135.0200,133.5134,30336621,0.5977
2023-12-15,132.7800,136.5100,132.1300,134.1600,132.0729,43265653,0.0000
2023-12-08,131.4800,132.4500,131.0900,132.0700,130.0154,32137046,0.0000
2023-12-01,130.8500,131.9700,129.3300,131.8300,129.7792,40884686,0.0000
2023-11-24,127.7500,131.1550,127.6600,131.1300,129.0901,25729666,0.0000
2023-11-17,126.4000,128.9900,125.6700,128.2500,126.2549,46285640,0.0000
2023-11-10,127.9500,128.8900,124.6000,126.2700,124.3057,50995403,0.0000
2023-11-03,123.7800,128.2000,122.8900,127.4100,125.4279,66474401,0.0000
2023-10-27,127.9700,128.4000,122.5900,123.1400,121.2244,61412636,0.0000
2023-10-20,130.7100,131.9200,127.7700,128.0600,126.0678,57569949,0.0000
2023-10-13,129.6500,131.6699,129.1250,130.1900,128.1647,48105912,0.0000
2023-10-06,128.3300,130.4200,126.8800,130.0100,127.9875,58372725,0.0000
2023-09-29,130.0200,130.8950,128.1500,128.7400,126.7372,46737483,0.0000
2023-09-22,131.8600,132.5100,130.0000,130.1500,128.1253,34932527,0.5395
2023-09-15,132.0000,133.6500,131.8510,132.1900,129.6016,36596533,0.0000
2023-09-08,133.6400,133.7350,130.8300,132.0600,129.4742,43655492,0.0000
2023-09-01,133.8800,135.6600,133.1800,133.5700,130.9546,43122123,0.0000
2023-08-25,133.4800,134.3900,132.4200,133.4100,130.7977,39839643,0.0000
2023-08-18,135.6900,136.5100,133.1000,133.5300,130.9154,47931346,0.0000
2023-08-11,132.8000,136.5300,132.7300,135.6700,133.0135,47816943,0.0000
2023-08-04,134.9500,135.0000,132.0750,132.4000,129.8075,58660495,0.0000
2023-07-28,136.2400,136.8450,134.4150,135.1900,132.5429,43741034,0.0000
