,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount
2024-12-09,239.9400,240.7979,238.6600,239.2700,239.2700,4004948,0.0000
2024-12-06,233.9000,241.8800,233.8400,240.8400,240.8400,19053741,0.0000
2024-11-29,235.3600,235.7700,229.5300,233.7300,233.7300,13952334,0.0000
2024-11-22,228.7100,234.5700,227.7200,233.6000,233.6000,19818146,0.0000
2024-11-15,237.1300,237.2800,227.9500,228.7100,228.7100,19479824,0.0000
2024-11-08,224.1200,237.9400,222.7900,237.1600,237.1600,21126027,0.0000
2024-11-01,231.9400,233.9900,222.1600,223.9100,223.9100,22683967,0.0000
2024-10-25,230.1900,232.8750,226.4817,230.2900,230.2900,15861349,0.0000
2024-10-18,232.2800,234.5650,226.9238,230.9100,230.9100,20168257,0.0000
2024-10-11,224.2800,231.3300,223.1800,230.8100,230.8100,17208067,0.0000
2024-10-04,224.1200,225.9000,218.9500,225.2900,225.2900,16064860,0.0000
2024-09-27,222.3300,228.8788,220.6200,225.1000,225.1000,17983187,0.3985
2024-09-20,218.8500,225.0050,216.9600,222.5300,222.1314,27528087,0.0000
2024-09-13,206.4500,220.9900,204.5400,220.4400,220.0452,26233524,0.0000
2024-09-06,218.0000,218.1600,202.9800,203.9200,203.5547,24169610,0.0000
2024-08-30,223.7600,224.6025,216.8800,220.3300,219.9354,23129617,0.0000
2024-08-23,220.8800,227.3700,219.9300,223.9600,223.5589,23764560,0.0000
2024-08-16,206.2700,221.8250,205.3100,221.4000,221.0034,21844337,0.0000
2024-08-09,191.9050,206.8100,190.7450,205.6300,205.2617,48818681,0.0000
2024-08-02,218.0000,220.7300,201.2500,204.7200,204.3533,34132773,0.0000
2024-07-26,223.7900,227.2300,210.4600,216.2800,215.8926,31644377,0.0000
2024-07-19,234.9900,236.5300,220.3800,220.8700,220.4744,24015343,0.0000
2024-07-12,233.6300,238.1400,231.0550,233.8000,233.3812,24491512,0.0000
2024-07-05,226.5700,233.9100,223.2800,232.8800,232.4629,14639577,0.0000
2024-06-28,225.6400,230.3900,222.3600,226.2300,225.8248,26374488,0.4000
2024-06-21,228.2300,232.5900,227.3700,228.4100,227.5916,23542066,0.0000
2024-06-14,214.8700,227.8000,214.7300,227.6700,226.8542,28917000,0.0000
2024-06-07,211.7700,216.5200,208.1700,215.6000,214.8275,19139276,0.0000
2024-05-31,216.4100,216.5800,205.5300,210.1600,209.4070,19948110,0.0000
