,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount
2024-12-09,79.6900,79.8000,78.6400,78.6900,78.6900,10463609,0.0000
2024-12-06,82.9200,82.9500,79.5400,79.6900,79.6900,46781304,0.0000
2024-11-29,82.1000,83.4100,80.9950,82.9300,82.9300,29009845,0.0000
2024-11-22,79.1800,82.2700,79.0814,81.4500,81.4500,38067545,0.0000
2024-11-15,79.1900,79.8664,77.9600,79.2500,79.2500,51382524,0.0000
2024-11-08,77.3500,79.3450,76.7800,79.1800,79.1800,73245690,0.0000
2024-11-01,80.8100,81.4200,78.0600,78.1300,78.1300,60821745,0.0000
2024-10-25,82.1400,82.3799,80.3200,80.3800,80.3800,41093511,0.0000
2024-10-18,79.3700,82.5000,79.2200,81.9500,81.9500,50565689,0.0000
2024-10-11,81.0400,81.0900,78.0500,79.2500,79.2500,70626680,0.0000
2024-10-04,80.5800,82.0550,79.8600,81.3100,81.3100,54581047,0.0000
2024-09-27,80.0300,80.7700,79.4100,80.4200,80.4200,51201614,0.5395
2024-09-20,78.7900,80.2500,77.3800,80.0800,79.5458,90361996,0.0000
2024-09-13,76.2400,78.5591,75.8000,78.5400,78.0161,46981618,0.0000
2024-09-06,76.3100,77.5100,75.9000,75.9100,75.4036,42982463,0.0000
2024-08-30,75.6800,76.4000,74.8200,76.2900,75.7811,35125945,0.0000
2024-08-23,74.5100,75.7800,74.4500,75.4200,74.9169,35322791,0.0000
2024-08-16,73.6300,74.6950,73.1900,74.4400,73.9434,40299230,0.0000
2024-08-09,74.6100,74.6100,72.1800,73.6100,73.1189,67606993,0.0000
2024-08-02,71.4400,75.5600,70.8600,74.2200,73.7249,67218798,0.0000
2024-07-26,70.5000,71.7800,70.1800,71.1700,70.6952,47154694,0.0000
2024-07-19,70.4600,71.0000,69.4150,70.1300,69.6622,49440470,0.0000
2024-07-12,68.6100,71.7250,68.3550,71.2600,70.7846,47664086,0.0000
2024-07-05,68.8500,68.9700,67.5950,68.5500,68.0927,30276890,0.0000
2024-06-28,68.8200,69.9700,67.8200,68.1400,67.6854,45450744,0.5551
2024-06-21,69.5700,70.1350,68.5500,69.3900,68.3828,46269635,0.0000
2024-06-14,69.9300,71.3100,69.3813,69.9400,68.9248,55226648,0.0000
2024-06-07,72.6000,72.6650,69.9150,69.9400,68.9248,59363650,0.0000
2024-05-31,71.5700,72.7900,70.2450,72.7200,71.6645,44411836,0.0000
2024-05-24,72.5000,72.9000,70.7500,71.5000,70.4622,48154217,0.0000
2024-05-17,71.5100,72.9050,71.0600,72.3400,71.2900,60500185,0.0000
2024-05-10,68.6200,71.8500,68.2000,71.2700,70.2355,82707972,0.0000
2024-05-03,66.6500,68.6250,66.2800,68.4100,67.4170,79945574,0.0000
2024-04-26,65.4700,67.1850,65.0200,66.1900,65.2293,64016749,0.0000
2024-04-19,64.6400,65.5650,62.5500,65.4300,64.4803,74880670,0.0000
2024-04-12,65.1700,66.0800,63.8900,64.2000,63.2682,73457481,0.0000
2024-04-05,65.6600,65.8000,64.2350,65.1600,64.2142,70238930,0.0000
2024-03-28,64.0400,65.7551,63.3800,65.6500,64.6971,57558575,0.0000
2024-03-22,63.0200,64.4750,62.6500,63.8600,62.9331,70418727,0.5196
2024-03-15,63.6600,64.4500,62.9200,63.4600,62.0292,71672088,0.0000
2024-03-08,61.4300,63.9700,61.4300,63.7500,62.3127,82085912,0.0000
2024-03-01,61.6600,62.6200,60.6250,61.7200,60.3284,74622275,0.0000
2024-02-23,61.1200,62.2500,61.0500,61.9600,60.5630,55374733,0.0000
2024-02-16,60.2700,61.5150,59.1400,61.2300,59.8495,85044319,0.0000
2024-02-09,60.8900,60.9250,59.5150,60.2700,58.9111,81301977,0.0000
2024-02-02,61.2500,62.6200,60.8850,61.4900,60.1036,112576387,0.0000
2024-01-26,60.9600,61.4350,59.8600,61.2100,59.8299,110012443,0.0000
2024-01-19,63.0100,63.1750,60.5900,60.9800,59.6051,68672338,0.0000
2024-01-12,64.3900,65.0200,62.7550,63.3200,61.8924,68992829,0.0000
2024-01-05,63.0600,64.8970,62.9300,64.5300,63.0751,58714043,0.0000
2023-12-29,62.5200,63.4950,62.5000,63.3300,61.9021,38941868,0.0000
2023-12-22,63.5500,63.9050,61.9700,62.6200,61.2081,76330219,0.5972
2023-12-15,63.0800,66.7000,63.0700,63.9700,61.9427,102882994,0.0000
2023-12-08,63.2300,63.9900,62.5800,63.4100,61.4004,62872023,0.0000
2023-12-01,62.7400,63.5400,62.2400,63.5300,61.5166,74940531,0.0000
2023-11-24,62.0000,62.7001,61.2800,62.6900,60.7033,38161607,0.0000
2023-11-17,60.1900,62.6900,59.5087,62.2900,60.3159,98335125,0.0000
2023-11-10,61.9700,62.1700,59.9200,60.3200,58.4084,89723529,0.0000
2023-11-03,58.9800,62.6500,58.5300,61.8600,59.8996,96337331,0.0000
2023-10-27,57.5000,60.3900,57.0400,58.7300,56.8688,108611097,0.0000
2023-10-20,59.4200,60.1300,58.0200,58.0300,56.1909,101325461,0.0000
2023-10-13,57.1500,59.6800,56.9100,59.3000,57.4207,124955255,0.0000
2023-10-06,58.5900,58.5900,54.7700,57.2500,55.4357,205188278,0.0000
2023-09-29,62.9200,63.2456,58.6050,58.9300,57.0624,123262094,0.0000
2023-09-22,64.4600,64.7500,62.8700,63.2900,61.2842,56494674,0.5216
2023-09-15,63.1100,65.6100,63.0100,64.9400,62.3765,70007640,0.0000
2023-09-08,62.6000,63.2900,61.3443,63.1800,60.6860,71430751,0.0000
2023-09-01,63.7400,64.0900,62.1450,62.6400,60.1673,59935824,0.0000
2023-08-25,63.3000,64.2800,62.5850,63.6300,61.1182,64455905,0.0000
2023-08-18,64.5300,64.5700,62.9750,63.4900,60.9837,63192986,0.0000
2023-08-11,64.2300,65.0700,63.3800,64.5700,62.0211,66795276,0.0000
2023-08-04,67.3100,67.5800,63.7050,63.9900,61.4640,80035461,0.0000
2023-07-28,68.5600,69.1550,66.7050,67.0400,64.3936,62453301,0.0000
2023-07-21,66.6300,68.7300,64.9900,68.4600,65.7576,77378224,0.0000
2023-07-14,65.2800,67.1410,64.5900,66.8500,64.2111,57235621,0.0000
2023-07-07,65.3000,67.1800,65.0800,65.3900,62.8087,55650700,0.0000
2023-06-30,65.1400,65.9200,64.0700,65.4400,62.8568,62085021,0.0000
2023-06-23,66.5700,66.8900,64.9450,65.0300,62.4630,46369320,0.5366
2023-06-16,66.4400,67.8400,65.7600,67.3000,64.1219,64762832,0.0000
2023-06-09,65.2600,66.8800,65.0250,66.3900,63.2548,72111476,0.0000
2023-06-02,64.7000,65.3700,63.9550,65.1200,62.0448,74410845,0.0000
2023-05-26,66.2800,66.6200,63.9300,64.5900,61.5398,65842511,0.0000
2023-05-19,69.2900,69.3900,65.6250,66.1100,62.9881,72917722,0.0000
2023-05-12,68.9600,69.5400,68.2400,69.0300,65.7702,56024730,0.0000
2023-05-05,68.8200,69.7700,67.5500,69.0300,65.7702,59878900,0.0000
2023-04-28,69.6000,70.2800,68.1800,68.9800,65.7225,56384932,0.0000
2023-04-21,69.0100,70.1100,68.5800,69.6200,66.3323,40311470,0.0000
2023-04-14,69.4100,70.1600,68.3500,68.8900,65.6368,56934161,0.0000
2023-04-06,67.4400,69.9550,66.8500,69.8100,66.5133,58355230,0.0000
2023-03-31,65.8900,67.7200,65.5900,67.6900,64.4934,57075438,0.0000
2023-03-24,66.5800,67.2200,63.3800,65.6900,62.5879,98188976,0.4897
2023-03-17,64.3400,68.0100,64.2500,66.9700,63.3444,109295194,0.0000
2023-03-10,66.2900,66.7950,64.0900,64.4200,60.9325,75719932,0.0000
2023-03-03,66.9400,67.5800,63.6250,66.2500,62.6634,85509306,0.0000
2023-02-24,67.9800,68.1700,65.7400,66.6100,63.0039,44138122,0.0000
2023-02-17,67.7400,68.8000,67.0250,68.4800,64.7727,40813675,0.0000
2023-02-10,67.6600,68.6800,66.2750,67.7100,64.0444,63344715,0.0000
2023-02-03,68.6400,70.1299,67.0000,67.9100,64.2335,58153847,0.0000
2023-01-27,68.9900,69.9200,67.9600,68.8900,65.1605,51040204,0.0000
2023-01-20,71.3800,71.8900,67.8400,69.2300,65.4821,51782924,0.0000
2023-01-13,70.9900,72.2700,70.6600,71.3300,67.4684,55808429,0.0000
2023-01-06,70.7000,71.7750,69.3850,71.0000,67.1562,42920185,0.0000
2022-12-30,71.0700,71.8100,69.8400,70.5000,66.6833,26449067,0.0000
2022-12-23,69.5500,70.9550,69.0300,70.9100,67.0711,38783384,0.5722
2022-12-16,71.2100,73.7900,69.6000,70.4800,66.1210,71180848,0.0000
2022-12-09,70.4900,71.6100,70.2610,70.8300,66.4493,60303953,0.0000
2022-12-02,70.4500,72.5100,69.2800,71.0300,66.6370,60814987,0.0000
2022-11-25,68.7400,71.1600,68.6900,70.9400,66.5525,30549664,0.0000
2022-11-18,68.1200,68.9700,67.0900,68.8500,64.5918,60463053,0.0000
2022-11-11,66.9600,69.0300,64.7650,68.0800,63.8694,72828536,0.0000
2022-11-04,67.2400,68.2100,65.4000,67.0900,62.9407,69452204,0.0000
2022-10-28,63.6500,67.5500,63.1450,67.4100,63.2409,63617132,0.0000
2022-10-21,63.0000,64.9550,61.8600,63.3100,59.3944,74071229,0.0000
2022-10-14,63.8900,64.6300,60.3500,62.1500,58.3062,104962209,0.0000
2022-10-07,66.5800,68.9200,63.3200,63.7600,59.8166,106403617,0.0000
2022-09-30,71.5800,71.6700,65.3700,65.5100,61.4584,103161292,0.0000
2022-09-23,73.7400,74.9700,70.8400,71.7600,67.3218,71140369,0.5014
2022-09-16,77.5900,78.2200,74.3400,74.4700,69.4000,74233318,0.0000
2022-09-09,75.0200,77.8200,74.6000,77.3800,72.1119,55322001,0.0000
2022-09-02,75.3200,76.5000,74.0500,74.6000,69.5211,58846091,0.0000
2022-08-26,77.3300,77.4750,75.6350,75.7100,70.5556,44768365,0.0000
2022-08-19,76.5700,78.0500,76.4300,77.7000,72.4101,43140065,0.0000
2022-08-12,74.8700,76.7300,73.9900,76.7200,71.4968,40369323,0.0000
2022-08-05,73.7200,75.0400,72.6200,74.2300,69.1763,53702160,0.0000
2022-07-29,69.3200,74.2600,69.1300,73.9500,68.9154,55086916,0.0000
2022-07-22,69.6000,69.7000,67.8450,69.4300,64.7031,58897958,0.0000
2022-07-15,69.5500,70.8100,68.3500,69.7600,65.0107,53471476,0.0000
2022-07-08,71.6900,71.7400,68.3100,69.8200,65.0666,50967980,0.0000
