Start Date,End Date,President,House,Senate
2001-01-20,2003-01-19,Republican,Republican,Democratic
2003-01-20,2005-01-19,Republican,Republican,Republican
2005-01-20,2007-01-19,Republican,Republican,Republican
2007-01-20,2009-01-19,Republican,Democratic,Democratic
2009-01-20,2011-01-19,Democratic,Democratic,Democratic
2011-01-20,2013-01-19,Democratic,Republican,Democratic
2013-01-20,2015-01-19,Democratic,Republican,Democratic
2015-01-20,2017-01-19,Democratic,Republican,Republican
2017-01-20,2019-01-19,Republican,Republican,Republican
2019-01-20,2021-01-19,Republican,Democratic,Republican
2021-01-20,2023-01-19,Democratic,Democratic,Democratic
2023-01-20,2025-01-19,Democratic,Republican,Democratic
